Instrument,Date,Price,PE,Forward_PE
.DJI,2006-06-30,11150.21976,16.77209,14.74182
.DJI,2006-07-31,11185.67928,16.23704,14.41803
.DJI,2006-08-31,11381.14691,16.5894,14.71929
.DJI,2006-10-31,12080.73213,17.0046,15.47538
.DJI,2006-11-30,12221.92732,16.94451,15.59772
.DJI,2007-01-31,12621.68753,16.99863,14.71923
.DJI,2007-02-28,12268.63277,16.43839,14.30069
.DJI,2007-04-30,13062.91432,16.6036,15.08353
.DJI,2007-05-31,13627.63765,17.2777,15.62701
.DJI,2007-07-31,13211.9853,16.37757,15.07902
.DJI,2007-08-31,13357.73651,16.44885,15.11552
.DJI,2007-10-31,13930.0112,16.88648,15.84629
.DJI,2007-11-30,13371.71822,16.44903,15.68266
.DJI,2007-12-31,13264.82317,16.36541,15.66793
.DJI,2008-01-31,12650.35948,15.91573,13.44474
.DJI,2008-02-29,12266.39044,15.15271,12.78559
.DJI,2008-03-31,12262.88978,15.18979,12.95761
.DJI,2008-04-30,12820.1314,15.59473,13.59512
.DJI,2008-07-31,11378.02233,18.07692,13.53909
.DJI,2008-09-30,10850.66193,13.20029,12.13795
.DJI,2008-10-31,9325.007874,11.17814,10.96068
.DJI,2008-12-31,8776.393666,10.6169,10.68487
.DJI,2009-03-31,7608.91587,10.07037,11.83453
.DJI,2009-04-30,8168.123238,11.49359,13.15208
.DJI,2009-06-30,8447.002654,11.84005,13.30416
.DJI,2009-07-31,9171.614459,13.93853,14.02204
.DJI,2009-08-31,9496.284078,14.97482,14.64237
.DJI,2009-09-30,9712.277042,15.30555,15.29704
.DJI,2009-11-30,10344.83866,16.70624,15.90049
.DJI,2009-12-31,10428.04659,16.79196,15.95017
.DJI,2010-03-31,10856.63165,16.47855,13.76769
.DJI,2010-04-30,11008.6127,15.8437,13.60387
.DJI,2010-05-31,10136.62991,14.68596,12.47857
.DJI,2010-06-30,9774.021707,14.18264,12.0507
.DJI,2010-08-31,10014.72094,13.60438,12.04997
.DJI,2010-09-30,10788.0532,14.64645,13.02121
.DJI,2010-11-30,11006.02119,13.83939,13.19141
.DJI,2010-12-31,11577.50602,14.52499,13.79888
.DJI,2011-01-31,11891.93241,14.37998,12.41824
.DJI,2011-02-28,12226.3392,14.77656,12.74025
.DJI,2011-03-31,12319.73243,14.95699,12.75073
.DJI,2011-05-31,12569.79015,14.71172,13.28292
.DJI,2011-06-30,12414.33659,14.06635,12.60989
.DJI,2011-08-31,11613.53128,12.71756,11.77533
.DJI,2011-09-30,10913.3848,11.96383,11.16706
.DJI,2011-10-31,11955.01446,12.89589,12.29566
.DJI,2011-11-30,12045.68309,13.05741,12.6475
.DJI,2012-01-31,12632.91005,13.9706,12.08887
.DJI,2012-02-29,12952.06665,14.42332,12.39234
.DJI,2012-04-30,13213.62824,14.45014,12.4478
.DJI,2012-05-31,12393.44799,13.53731,11.7177
.DJI,2012-07-31,13008.67778,13.79191,12.56616
.DJI,2012-08-31,13090.83723,13.87075,12.57226
.DJI,2012-09-28,13437.12686,14.02079,12.7961
.DJI,2012-10-31,13096.46233,13.42296,12.47651
.DJI,2012-11-30,13025.58015,13.47067,12.78552
.DJI,2012-12-31,13104.14188,13.54065,12.8856
.DJI,2013-01-31,13860.57687,14.54988,12.45589
.DJI,2013-02-28,14054.48533,14.5068,12.52597
.DJI,2013-03-28,14578.53735,14.89792,12.98557
.DJI,2013-04-30,14839.7954,15.15465,13.34063
.DJI,2013-05-31,15115.56779,15.38943,13.5889
.DJI,2013-06-28,14909.60245,15.17409,13.39525
.DJI,2013-07-31,15499.54494,15.56628,13.93202
.DJI,2013-08-30,14810.30596,15.1703,13.3979
.DJI,2013-09-30,15129.66835,15.41372,14.24012
.DJI,2013-10-31,15545.74659,16.07962,14.41645
.DJI,2013-11-29,16086.4107,16.60328,15.31254
.DJI,2013-12-31,16576.66248,17.08088,15.84683
.DJI,2014-01-31,15698.84592,15.42716,13.92654
.DJI,2014-02-28,16321.711,16.08214,14.54216
.DJI,2014-03-31,16457.66372,16.01956,14.74196
.DJI,2014-04-30,16580.83675,16.22213,14.74004
.DJI,2014-05-30,16717.17478,16.40467,14.86197
.DJI,2014-06-30,16826.60483,16.50673,14.91261
.DJI,2014-07-31,16563.30482,15.8274,14.56737
