Instrument,Date,Price,PE,Y1_PE,Y2_PE,Forward_PE
.DJI,2006-06-02,11247.87353,16.98977,15.06941,13.31541,14.334171643835617
.DJI,2006-06-09,10891.91753,16.42546,14.58717,12.89021,13.84329712328767
.DJI,2006-06-16,11014.54505,16.61082,14.74824,13.02811,13.961221616438355
.DJI,2006-06-23,10989.09103,16.55486,14.70391,12.9883,13.886057561643835
.DJI,2006-06-30,11150.21976,16.77209,14.74182,13.08235,13.918904739726027
.DJI,2006-07-07,11090.66696,16.68007,14.77035,13.06833,13.893693123287672
.DJI,2006-07-14,10739.35352,16.09762,14.3166,12.61761,13.408920410958904
.DJI,2006-07-21,10868.38457,15.94839,14.39738,12.78688,13.506089589041096
.DJI,2006-07-28,11219.69801,16.28616,14.46112,13.00168,13.625440657534247
.DJI,2006-08-04,11240.34939,16.4001,14.39478,13.068,13.609617041095891
.DJI,2006-08-11,11088.02551,16.25246,14.16033,12.88922,13.38373402739726
.DJI,2006-08-18,11381.46709,16.57751,14.55747,13.21158,13.709374931506849
.DJI,2006-08-25,11284.05345,16.44312,14.43371,13.05982,13.541622520547946
.DJI,2006-09-01,11464.15262,16.69994,14.82639,13.26122,13.780084575342466
.DJI,2006-09-08,11392.11295,16.57272,14.7317,13.17284,13.659716821917808
.DJI,2006-09-15,11560.76582,16.82716,14.92816,13.37362,13.829334465753426
.DJI,2006-09-22,11508.09682,16.76117,14.85835,13.31567,13.738322054794521
.DJI,2006-09-29,11679.07096,16.98416,15.09002,13.51536,13.916574739726027
.DJI,2006-10-06,11850.2052,17.26516,15.33201,13.73633,14.112298438356165
.DJI,2006-10-13,11960.50593,17.33393,15.52281,13.86278,14.222074164383562
.DJI,2006-10-20,12002.36898,17.05596,15.512,13.9018,14.219428493150685
.DJI,2006-10-27,12090.25738,17.03218,15.49511,14.06452,14.319282602739726
.DJI,2006-11-03,11986.03999,16.87853,15.35249,13.9479,14.171095123287671
.DJI,2006-11-10,12108.42738,16.8362,15.45067,14.10628,14.294126273972603
.DJI,2006-11-17,12342.55631,17.05842,15.69426,14.38581,14.543540958904108
.DJI,2006-11-24,12280.16894,17.00226,15.67268,14.29892,14.4381778630137
.DJI,2006-12-01,12194.12836,16.90001,15.5615,14.19487,14.307195753424658
.DJI,2006-12-08,12307.48722,17.06149,15.68794,14.32516,14.411033808219177
.DJI,2006-12-15,12445.52065,17.26022,15.86505,14.48729,14.54768495890411
.DJI,2006-12-22,12343.21729,17.1138,15.72413,14.36843,14.401858219178083
.DJI,2006-12-29,12463.14535,17.2686,15.93485,14.50803,14.515848191780822
.DJI,2007-01-05,12398.01408,17.18197,14.42649,,14.42649
.DJI,2007-01-12,12556.07558,17.3819,14.6145,,14.6145
.DJI,2007-01-19,12565.52883,17.27287,14.61755,,14.61755
.DJI,2007-01-26,12487.01881,16.96986,14.53366,,14.53366
.DJI,2007-02-02,12653.4921,17.03922,14.78993,13.77563,14.698226164383561
.DJI,2007-02-09,12580.83027,16.82814,14.69113,13.65538,14.57762315068493
.DJI,2007-02-16,12767.57196,17.09517,14.90502,13.96494,14.783968602739726
.DJI,2007-02-23,12647.48368,16.93116,14.75366,13.80651,14.613533698630135
.DJI,2007-03-02,12114.09621,16.03897,14.13105,13.01976,13.945327561643836
.DJI,2007-03-09,12276.32355,16.2542,14.29635,13.21618,14.095112849315068
.DJI,2007-03-16,12110.41105,16.04969,14.15314,12.84264,13.883859178082192
.DJI,2007-03-23,12481.01039,16.51997,14.58981,13.24632,14.28798484931507
.DJI,2007-03-30,12354.3529,16.36343,14.44127,13.11048,14.116776
.DJI,2007-04-06,12560.1976,16.38681,14.65722,13.3067,14.302014739726026
.DJI,2007-04-13,12612.12712,16.43436,14.65138,13.31451,14.274126273972602
.DJI,2007-04-20,12961.9809,16.76112,14.96698,13.61848,14.560582739726026
.DJI,2007-04-27,13120.93885,16.68764,15.15053,13.79035,14.71452709589041
.DJI,2007-05-04,13264.61864,16.84745,15.31643,13.94387,14.850135643835618
.DJI,2007-05-11,13326.21891,16.8623,15.38756,14.01051,14.893331095890414
.DJI,2007-05-18,13556.52915,17.17058,15.65562,14.25553,15.12627090410959
.DJI,2007-05-25,13507.28144,17.11708,15.59874,14.204,15.04466520547945
