Instrument,Date,Price,PE,Forward_PE,EPS,Forward_EPS,Band_10x,Band_13x,Band_16x,Band_19x,Band_22x,Band_25x,Band_fwd_10x,Band_fwd_13x,Band_fwd_16x,Band_fwd_19x,Band_fwd_22x,Band_fwd_25x,SD_minus_2,SD_minus_1,SD_mean,SD_plus_1,SD_plus_2,SD_fwd_minus_2,SD_fwd_minus_1,SD_fwd_mean,SD_fwd_plus_1,SD_fwd_plus_2
.DJI,2006-06-30,11150.21976,16.77209,14.74182,664.8080090197466,756.3665653223279,6648.080090197465,8642.504117256705,10636.928144315945,12631.352171375185,14625.776198434425,16620.200225493663,7563.665653223279,9832.765349190264,12101.865045157247,14370.96474112423,16640.064437091212,18909.1641330582,7787.105900107147,10023.725621391057,12260.345342674966,14496.965063958876,16733.584785242783,8449.339963665358,10437.111339347064,12424.882715028773,14412.654090710479,16400.425466392186
.DJI,2006-07-31,11185.67928,16.23704,14.41803,688.8989175366938,775.8119021808111,6888.989175366938,8955.68592797702,11022.382680587101,13089.079433197183,15155.776185807264,17222.472938417344,7758.119021808111,10085.554728350544,12412.990434892978,14740.426141435411,17067.861847977845,19395.29755452028,8069.290310201534,10386.959297381172,12704.62828456081,15022.297271740446,17339.96625892008,8666.56302634172,10705.437776722849,12744.312527103977,14783.187277485107,16822.06202786623
.DJI,2006-08-31,11381.14691,16.5894,14.71929,686.049339337167,773.2130360907353,6860.49339337167,8918.64141138317,10976.789429394672,13034.937447406173,15093.085465417675,17151.233483429176,7732.130360907353,10051.769469179559,12371.408577451764,14691.04768572397,17010.686793996178,19330.32590226838,8035.912301950595,10343.994426890411,12652.076551830225,14960.158676770043,17268.240801709857,8637.53119955052,10669.575992263066,12701.620784975612,14733.66557768816,16765.710370400706
.DJI,2006-10-31,12080.73213,17.0046,15.47538,710.4390653117392,780.6420346382448,7104.3906531173925,9235.70784905261,11367.025044987828,13498.342240923046,15629.659436858263,17760.97663279348,7806.420346382448,10148.346450297182,12490.272554211917,14832.198658126652,17174.124762041385,19516.05086595612,8321.59685517767,10711.733560344148,13101.870265510626,15492.006970677106,17882.14367584358,8720.520238457515,10772.08883264379,12823.657426830066,14875.226021016346,16926.79461520262
.DJI,2006-11-30,12221.92732,16.94451,15.59772,721.291280774717,783.5714014612392,7212.9128077471705,9376.78665007132,11540.660492395473,13704.534334719625,15868.408177043775,18032.282019367925,7835.714014612393,10186.42821899611,12537.142423379828,14887.856627763545,17238.570832147263,19589.285036530982,8448.712277847733,10875.359191668147,13302.006105488561,15728.653019308977,18155.299933129387,8753.244075417726,10812.51120069539,12871.778325973053,14931.045451250719,16990.31257652838
.DJI,2007-01-31,12621.68753,16.99863,14.71923,742.5120453824809,857.4964539585291,7425.120453824809,9652.656589972252,11880.192726119694,14107.728862267137,16335.26499841458,18562.80113456202,8574.964539585291,11147.453901460878,13719.943263336465,16292.432625212052,18864.92198708764,21437.411348963225,8697.27778704724,11195.31791511673,13693.358043186217,16191.398171255709,18689.438299325197,9579.057813119402,11832.60388994916,14086.149966778918,16339.696043608676,18593.242120438434
.DJI,2007-02-28,12268.63277,16.43839,14.30069,746.3402906245685,857.904952138673,7463.402906245685,9702.423778119391,11941.444649993096,14180.465521866801,16419.486393740506,18658.507265614215,8579.04952138673,11152.764377802749,13726.479234218768,16300.194090634788,18873.908947050808,21447.623803466824,8742.11923105402,11253.038759928246,13763.958288802472,16274.8778176767,18785.797346550924,9583.621129581048,11838.240761254101,14092.860392927154,16347.480024600209,18602.099656273258
.DJI,2007-04-30,13062.91432,16.6036,15.08353,786.7519284974343,866.0382761860121,7867.519284974343,10227.775070466645,12588.030855958948,14948.286641451252,17308.542426943553,19668.798212435857,8660.38276186012,11258.497590418157,13856.612418976194,16454.72724753423,19052.842076092267,21650.956904650302,9215.473491898128,11862.35026708939,14509.22704228065,17156.103817471914,19802.980592663174,9674.478159837716,11950.472597685015,14226.467035532312,16502.46147337961,18778.45591122691
.DJI,2007-05-31,13627.63765,17.2777,15.62701,788.7414210224741,872.0566282353439,7887.4142102247415,10253.638473292163,12619.862736359586,14986.086999427009,17352.31126249443,19718.535525561852,8720.566282353439,11336.73616705947,13952.906051765502,16569.075936471534,19185.245821177567,21801.415705883595,9238.777045359828,11892.347088617176,14545.917131874525,17199.487175131875,19853.05721838922,9741.708924413033,12033.519910057283,14325.330895701532,16617.141881345782,18908.952866990032
.DJI,2007-07-31,13211.9853,16.37757,15.07902,806.7121862400833,876.1832864469973,8067.1218624008325,10487.258421121083,12907.394979841332,15327.531538561581,17747.668097281832,20167.80465600208,8761.832864469972,11390.382723810964,14018.932583151956,16647.482442492947,19276.03230183394,21904.58216117493,9449.274286603693,12163.303541162562,14877.332795721431,17591.362050280302,20305.391304839166,9787.807654503318,12090.46371639291,14393.119778282498,16695.77584017209,18998.43190206168
.DJI,2007-08-31,13357.73651,16.44885,15.11552,812.0772278913116,883.7100218847913,8120.772278913117,10557.00396258705,12993.235646260986,15429.467329934922,17865.699013608857,20301.93069728279,8837.100218847914,11488.230284502288,14139.360350156661,16790.490415811037,19441.62048146541,22092.750547119784,9512.116711679473,12244.195625387816,14976.274539096157,17708.353452804502,20440.432366512843,9871.888508213964,12194.325229299138,14516.761950384314,16839.19867146949,19161.635392554665
.DJI,2007-10-31,13930.0112,16.88648,15.84629,824.9209545150915,879.0708235176814,8249.209545150914,10723.972408696189,13198.735272241463,15673.498135786738,18148.26099933201,20623.023862877286,8790.708235176815,11427.920705729859,14065.133176282903,16702.345646835947,19339.55811738899,21976.770587942035,9662.559332728626,12437.848514471918,15213.137696215212,17988.426877958507,20763.716059701797,9820.064213011428,12130.308875188868,14440.55353736631,16750.79819954375,19061.04286172119
.DJI,2007-11-30,13371.71822,16.44903,15.68266,812.918343513265,852.6435069050787,8129.18343513265,10567.938465672445,13006.69349621224,15445.448526752034,17884.20355729183,20322.958587831625,8526.435069050787,11084.365589766023,13642.296110481258,16200.226631196494,18758.15715191173,21316.087672626967,9521.968964259948,12256.877651019182,14991.786337778416,17726.69502453765,20461.603711296884,9524.845740084686,11765.63801514316,14006.430290201635,16247.22256526011,18488.01484031858
.DJI,2007-12-31,13264.82317,16.36541,15.66793,810.5402290562839,846.6225704352777,8105.402290562839,10537.02297773169,12968.643664900543,15400.264352069395,17831.885039238245,20263.505726407097,8466.225704352777,11006.09341565861,13545.961126964443,16085.828838270276,18625.69654957611,21165.564260881943,9494.113359532212,12221.021333872537,14947.929308212862,17674.837282553188,20401.74525689351,9457.586105054019,11682.555040321728,13907.523975589438,16132.49291085715,18357.461846124857
.DJI,2008-01-31,12650.35948,15.91573,13.44474,794.8337575467791,940.9151445100463,7948.337575467791,10332.83884810813,12717.340120748466,15101.841393388802,17486.34266602914,19870.843938669477,9409.151445100462,12231.896878630601,15054.64231216074,17877.387745690878,20700.13317922102,23522.878612751156,9310.13850468371,11984.20505194535,14658.271599206992,17332.33814646863,20006.404693730274,10510.92459320797,12983.699404989136,15456.474216770303,17929.249028551472,20402.023840332637
.DJI,2008-02-29,12266.39044,15.15271,12.78559,809.5179304560041,959.3918184456095,8095.179304560042,10523.733095928053,12952.286887296066,15380.840678664079,17809.39447003209,20237.948261400103,9593.918184456095,12472.093639792924,15350.269095129752,18228.444550466582,21106.62000580341,23984.79546114024,9482.13885357876,12205.607499301792,14929.076145024825,17652.54479074786,20376.01343647089,10717.32676199347,13238.65925103165,15759.991740069829,18281.32422910801,20802.656718146187
.DJI,2008-03-31,12262.88978,15.18979,12.95761,807.3113440014641,946.3851574480169,8073.113440014641,10495.047472019034,12916.981504023426,15338.915536027818,17760.849568032212,20182.783600036604,9463.85157448017,12303.00704682422,15142.16251916827,17981.317991512322,20820.47346385637,23659.628936200425,9456.29241044613,12172.337416992164,14888.382423538196,17604.427430084233,20320.472436630265,10572.029883998906,13059.180179363317,15546.330474727729,18033.48077009214,20520.631065456553
.DJI,2008-04-30,12820.1314,15.59473,13.59512,822.0810107004097,942.995089414437,8220.810107004098,10687.053139105326,13153.296171206555,15619.539203307784,18085.782235409013,20552.025267510242,9429.95089414437,12258.936162387681,15087.921430630991,17916.906698874303,20745.89196711761,23574.877235360924,9629.294175066205,12395.028907619542,15160.763640172878,17926.498372726215,20692.233105279553,10534.159572659239,13012.40058976134,15490.641606863443,17968.882623965546,20447.123641067647
.DJI,2008-07-31,11378.02233,18.07692,13.53909,629.4226190081054,840.3830929552872,6294.226190081054,8182.49404710537,10070.761904129686,11959.029761154,13847.297618178318,15735.565475202635,8403.830929552872,10924.980208418734,13446.129487284596,15967.278766150457,18488.42804501632,21009.577323882182,7372.625665815837,9490.197992857225,11607.770319898613,13725.342646940002,15842.91497398139,9387.885157337474,11596.456415470091,13805.027673602706,16013.598931735323,18222.17018986794
.DJI,2008-09-30,10850.66193,13.20029,12.13795,822.001784051714,893.9451826708794,8220.017840517141,10686.023192672283,13152.028544827424,15618.033896982566,18084.03924913771,20550.04460129285,8939.451826708793,11621.287374721433,14303.12292273407,16984.958470746707,19666.794018759345,22348.629566771986,9628.366168340755,12393.834357948579,15159.302547556405,17924.770737164232,20690.238926772054,9986.225070708077,12335.56033618808,14684.895601668082,17034.230867148086,19383.566132628086
.DJI,2008-10-31,9325.007874,13.32333,12.3914825,699.9006910434554,752.5336757728545,6999.006910434554,9098.70898356492,11198.411056695286,13298.113129825651,15397.815202956019,17497.517276086382,7525.336757728545,9782.937785047108,12040.538812365672,14298.139839684236,16555.740867002798,18813.341894321362,8198.157553411296,10552.839908752072,12907.522264092848,15262.204619433625,17616.8869747744,8406.522911284308,10384.221250316985,12361.919589349662,14339.61792838234,16317.316267415015
.DJI,2008-12-31,8776.393666,13.44637,12.645015,652.6961303310857,694.0595694034369,6526.961303310856,8485.049694304114,10443.13808529737,12401.226476290627,14359.314867283885,16317.403258277142,6940.5956940343685,9022.774402244679,11104.95311045499,13187.1318186653,15269.310526875612,17351.489235085923,7645.235644757904,9841.107260770337,12036.97887678277,14232.850492795204,16428.722108807637,7753.311060789315,9577.336352666394,11401.361644543473,13225.386936420553,15049.412228297631
.DJI,2009-03-31,7608.91587,13.569410000000001,12.8985475,560.7403615927294,589.9048609930692,5607.403615927295,7289.624700705483,8971.84578548367,10654.066870261859,12336.287955040047,14018.509039818235,5899.048609930692,7668.763192909899,9438.477775889107,11208.192358868315,12977.906941847523,14747.621524826729,6568.128721291112,8454.632695735436,10341.136670179758,12227.640644624082,14114.144619068404,6589.803073361816,8140.104277590501,9690.405481819185,11240.706686047872,12791.007890276554
.DJI,2009-04-30,8168.123238,13.692450000000001,13.15208,596.5421263543047,621.0518213088728,5965.421263543048,7755.047642605961,9544.674021668876,11334.30040073179,13123.926779794705,14913.553158857618,6210.518213088728,8073.673677015347,9936.829140941965,11799.984604868583,13663.140068795203,15526.29553272182,6987.486084359268,8994.43826646068,11001.390448562091,13008.342630663505,15015.294812764916,6937.744493050122,8569.901557907528,10202.058622764933,11834.21568762234,13466.372752479743
.DJI,2009-06-30,8447.002654,13.81549,13.30416,611.4153500165394,634.9143917391252,6114.153500165394,7948.399550215012,9782.64560026463,11616.891650314248,13451.137700363866,15285.383750413484,6349.143917391252,8253.887092608627,10158.630267826004,12063.37344304338,13968.116618260756,15872.85979347813,7161.700844353773,9218.69115010997,11275.681455866164,13332.671761622361,15389.662067378556,7092.6027003077925,8761.191334139805,10429.779967971817,12098.368601803832,13766.957235635844
.DJI,2009-07-31,9171.614459,13.93853,14.02204,658.0044279418274,654.0856008826105,6580.0442794182745,8554.057563243756,10528.070847069239,12502.084130894722,14476.097414720203,16450.110698545686,6540.856008826105,8503.112811473937,10465.369614121768,12427.626416769599,14389.88321941743,16352.140022065263,7707.413408989538,9921.143779652259,12134.874150314978,14348.604520977698,16562.334891640417,7306.763493492518,9025.73507987663,10744.706666260738,12463.67825264485,14182.649839028958
.DJI,2009-08-31,9496.284078,14.97482,14.64237,634.1501318880628,648.5482936164024,6341.501318880628,8243.951714544815,10146.402110209005,12048.852505873194,13951.302901537381,15853.753297201569,6485.482936164024,8431.12781701323,10376.772697862438,12322.417578711646,14268.062459560851,16213.70734041006,7428.000515307543,9561.477657568481,11694.95479982942,13828.431942090361,15961.909084351299,7244.906460513372,8949.32571025707,10653.744960000768,12358.164209744467,14062.583459488163
