Instrument,Date,Price,PE,Y1_PE,Y2_PE,Forward_PE,EPS,Forward_EPS,Band_10x,Band_13x,Band_16x,Band_19x,Band_22x,Band_25x,Band_fwd_10x,Band_fwd_13x,Band_fwd_16x,Band_fwd_19x,Band_fwd_22x,Band_fwd_25x,SD_minus_2,SD_minus_1,SD_mean,SD_plus_1,SD_plus_2,SD_fwd_minus_2,SD_fwd_minus_1,SD_fwd_mean,SD_fwd_plus_1,SD_fwd_plus_2
.DJI,2006-06-02,11247.87353,16.98977,15.06941,13.31541,14.334171643835615,662.0380105204486,784.6894685984264,6620.3801052044855,8606.494136765832,10592.608168327177,12578.722199888522,14564.836231449868,16550.950263011215,7846.894685984264,10200.963091779544,12555.031497574822,14909.099903370101,17263.16830916538,19617.23671496066,7375.597108860452,9669.319276155002,11963.041443449552,14256.763610744103,16550.485778038652,8100.571452849392,10117.16349034422,12133.755527839046,14150.347565333874,16166.939602828697
.DJI,2006-06-09,10891.91753,16.42546,14.58717,12.89021,13.84329712328767,663.11187205716,786.8008201367898,6631.1187205716,8620.45433674308,10609.78995291456,12599.12556908604,14588.46118525752,16577.796801428998,7868.0082013678975,10228.410661778267,12588.813122188636,14949.215582599005,17309.618043009374,19670.020503419742,7387.560727141612,9685.003436115368,11982.446145089123,14279.888854062881,16577.331563036634,8122.367532296137,10144.385582081177,12166.403631866218,14188.42168165126,16210.439731436298
.DJI,2006-06-16,11014.54505,16.61082,14.74824,13.02811,13.961221616438356,663.0946003869767,788.938486373653,6630.946003869767,8620.229805030696,10609.513606191627,12598.797407352558,14588.081208513488,16577.365009674417,7889.38486373653,10256.200322857489,12623.015781978447,14989.831241099406,17356.646700220364,19723.462159341325,7387.368307856549,9684.75117674237,11982.134045628192,14279.516914514013,16576.899783399833,8144.435265822603,10171.94695466435,12199.4586435061,14226.97033234785,16254.482021189595
.DJI,2006-06-23,10989.09103,16.55486,14.70391,12.9883,13.886057561643836,663.7984875740416,791.3758805345977,6637.984875740416,8629.38033846254,10620.775801184665,12612.17126390679,14603.566726628915,16594.96218935104,7913.758805345978,10287.886446949771,12662.014088553564,15036.141730157357,17410.26937176115,19784.39701336494,7395.210135998408,9695.031719306346,11994.853302614283,14294.674885922223,16594.49646923016,8169.597175532896,10203.372781317454,12237.14838710201,14270.92399288657,16304.699598671124
.DJI,2006-06-30,11150.21976,16.77209,14.74182,13.08235,13.918904739726027,664.8080090197466,801.0845658118553,6648.080090197465,8642.504117256705,10636.928144315945,12631.352171375185,14625.776198434425,16620.200225493663,8010.845658118553,10414.099355554119,12817.353052989685,15220.606750425251,17623.860447860818,20027.114145296382,7406.4569576883305,9709.776167539723,12013.095377391117,14316.41458724251,16619.7337970939,8269.822681225134,10328.548867090283,12387.27505295543,14446.00123882058,16504.727424685727
.DJI,2006-07-07,11090.66696,16.68007,14.77035,13.06833,13.893693123287672,664.9053007571312,798.2519018942899,6649.053007571311,8643.768909842705,10638.484812114099,12633.200714385492,14627.916616656885,16622.63251892828,7982.519018942899,10377.274724625768,12772.030430308638,15166.786135991508,17561.541841674378,19956.297547357248,7407.540860191762,9711.197150711012,12014.853441230263,14318.509731749517,16622.166022268764,8240.580289955207,10292.026745774703,12343.4732015942,14394.9196574137,16446.366113233194
.DJI,2006-07-14,10739.35352,16.09762,14.3166,12.61761,13.408920410958904,667.1392118834959,800.911124151568,6671.39211883496,8672.809754485446,10674.227390135935,12675.645025786424,14677.06266143691,16678.480297087397,8009.1112415156795,10411.844613970383,12814.577986425087,15217.311358879791,17620.044731334496,20022.7781037892,7432.428295932973,9743.824280229444,12055.220264525917,14366.616248822389,16678.01223311886,8268.032193881692,10326.312647919025,12384.593101956358,14442.873555993692,16501.154010031023
.DJI,2006-07-21,10868.38457,15.94839,14.39738,12.78688,13.506089589041096,681.4722094205121,804.7025379439699,6814.722094205121,8859.138722466656,10903.555350728193,12947.97197898973,14992.388607251265,17036.805235512802,8047.0253794396995,10461.132993271609,12875.240607103518,15289.348220935428,17703.455834767337,20117.56344859925,7592.108576393327,9953.16321117814,12314.217845962954,14675.27248074777,17036.327115532582,8307.172031437467,10375.196129515623,12443.22022759378,14511.244325671938,16579.26842375009
.DJI,2006-07-28,11219.69801,16.28616,14.46112,13.00168,13.625440657534249,688.9099707972905,823.4374426485809,6889.099707972905,8955.829620364777,11022.559532756648,13089.289445148519,15156.01935754039,17222.74926993226,8234.374426485809,10704.686754431552,13174.999082377295,15645.311410323038,18115.62373826878,20585.936066214523,7674.970784356032,10061.794571174205,12448.618357992378,14835.442144810551,17222.265931628725,8500.577754714343,10616.749127813311,12732.92050091228,14849.091874011248,16965.263247110215
.DJI,2006-08-04,11240.34939,16.4001,14.39478,13.068,13.609617041095891,685.3829787623247,825.9122469102841,6853.829787623246,8909.97872391022,10966.127660197195,13022.27659648417,15078.425532771143,17134.574469058116,8259.122469102842,10736.859209833694,13214.595950564546,15692.332691295398,18170.069432026252,20647.806172757104,7635.677463062263,10010.281498618551,12384.88553417484,14759.48956973113,17134.093605287417,8526.12585948189,10648.657290627034,12771.188721772178,14893.720152917324,17016.251584062466
