Instrument,Date,Price,PE,Y1_PE,Y2_PE,Forward_PE
.IXIC,2006-06-02,2219.41,22.01871,20.70687,18.18358,19.649162136986302
.IXIC,2006-06-09,2135.06,21.06742,19.83566,17.40539,18.77033616438356
.IXIC,2006-06-16,2129.95,21.08645,20.81427,17.4424,19.271524
.IXIC,2006-06-23,2121.47,20.9874,20.14245,16.87238,18.583567315068493
.IXIC,2006-06-30,2172.09,21.50358,19.87261,17.35982,18.626541534246577
.IXIC,2006-07-07,2130.06,21.29579,19.52324,16.98878,18.217819506849317
.IXIC,2006-07-14,2037.35,20.41199,18.74301,16.28302,17.428768767123287
.IXIC,2006-07-21,2020.39,20.52735,18.65125,16.10755,17.243503698630136
.IXIC,2006-07-28,2094.14,20.6719,19.79347,17.10785,18.255676630136985
.IXIC,2006-08-04,2085.05,20.67775,20.36111,17.48688,18.66019580821918
.IXIC,2006-08-11,2057.71,20.57976,20.10599,17.05422,18.24148394520548
.IXIC,2006-08-18,2163.95,21.44281,21.0345,17.9209,19.072505479452055
.IXIC,2006-08-25,2140.29,21.14715,20.71978,17.82618,18.84092191780822
.IXIC,2006-09-01,2193.16,22.163,21.24394,18.19286,19.204313917808218
.IXIC,2006-09-08,2165.79,21.95443,21.01438,17.96,18.913970739726025
.IXIC,2006-09-15,2235.59,22.70746,21.70597,18.57287,19.491340410958905
.IXIC,2006-09-22,2218.93,22.53681,21.63394,18.4433,19.31744794520548
.IXIC,2006-09-29,2258.43,22.98044,22.0402,18.80142,19.626643397260274
.IXIC,2006-10-06,2299.99,23.27735,22.42283,19.18631,19.948887315068493
.IXIC,2006-10-13,2357.29,23.72912,22.97049,19.6343,20.356379479452055
.IXIC,2006-10-20,2342.3,23.67068,22.59515,19.4823,20.096341643835615
.IXIC,2006-10-27,2350.62,23.28801,22.62587,19.57182,20.11569191780822
.IXIC,2006-11-03,2330.79,23.02412,22.36456,19.34269,19.822877561643836
.IXIC,2006-11-10,2389.72,23.59569,22.92717,19.88412,20.309313287671234
.IXIC,2006-11-17,2445.86,24.24103,23.45154,20.36434,20.736495616438354
.IXIC,2006-11-24,2460.26,23.72427,23.58488,20.44408,20.762462465753423
.IXIC,2006-12-01,2413.21,23.37392,23.14793,20.07736,20.329735616438356
.IXIC,2006-12-08,2437.36,23.68865,23.37217,20.28034,20.475167643835615
.IXIC,2006-12-15,2457.2,24.07948,23.53297,20.43625,20.571996630136987
.IXIC,2006-12-22,2401.18,23.51131,23.07276,19.98415,20.060307506849313
.IXIC,2006-12-29,2415.29,23.61129,23.31405,20.07312,20.090878520547943
.IXIC,2007-01-05,2434.25,23.8751,20.28135,,20.28135
.IXIC,2007-01-12,2502.82,23.78687,20.82311,,20.82311
.IXIC,2007-01-19,2451.31,23.23138,20.39246,,20.39246
.IXIC,2007-01-26,2435.49,23.15996,20.28193,,20.28193
.IXIC,2007-02-02,2475.88,23.22603,20.624,,20.624
