Instrument,Date,Price,PE,Y1_PE,Y2_PE,Forward_PE,EPS,Forward_EPS,Band_15x,Band_20x,Band_25x,Band_30x,Band_35x,Band_40x,Band_fwd_15x,Band_fwd_20x,Band_fwd_25x,Band_fwd_30x,Band_fwd_35x,Band_fwd_40x,SD_minus_2,SD_minus_1,SD_mean,SD_plus_1,SD_plus_2,SD_fwd_minus_2,SD_fwd_minus_1,SD_fwd_mean,SD_fwd_plus_1,SD_fwd_plus_2
.IXIC,2006-06-02,2219.41,22.01871,20.70687,18.18358,19.649162136986305,100.79654984329237,112.95188998528984,1511.9482476493856,2015.9309968658474,2519.913746082309,3023.8964952987712,3527.879244515233,4031.861993731695,1694.2783497793475,2259.0377997057967,2823.797249632246,3388.556699558695,3953.3161494851443,4518.075599411593,1245.2026352137154,1791.3129861408086,2337.423337067902,2883.533687994996,3429.6440389220893,1329.3994823102732,1789.163690382847,2248.9278984554207,2708.6921065279944,3168.456314600568
.IXIC,2006-06-09,2135.06,21.06742,19.83566,17.40539,18.77033616438356,101.34416079425009,113.74649773461411,1520.1624119137514,2026.8832158850018,2533.6040198562523,3040.3248238275028,3547.0456277987532,4053.7664317700037,1706.1974660192116,2274.929954692282,2843.662443365353,3412.394932038423,3981.127420711494,4549.859909384564,1251.967614771692,1801.0448927321409,2350.12217069259,2899.1994486530393,3448.2767266134883,1338.7517041343526,1801.750317604162,2264.7489310739716,2727.747544543781,3190.7461580135905
.IXIC,2006-06-16,2129.95,21.08645,20.81427,17.4424,19.271524,101.01036447576524,110.52317398457951,1515.1554671364786,2020.2072895153049,2525.259111894131,3030.310934272957,3535.3627566517835,4040.4145790306097,1657.8476097686928,2210.4634796915902,2763.079349614488,3315.6952195373856,3868.311089460283,4420.9269593831805,1247.84402069979,1795.1128079439463,2342.381595188103,2889.6503824322594,3436.9191696764155,1300.8144467305813,1750.6927052290027,2200.570963727424,2650.4492222258455,3100.327480724267
.IXIC,2006-06-23,2121.47,20.9874,20.14245,16.87238,18.583567315068493,101.08303077084345,114.1583832658332,1516.2454615626518,2021.660615416869,2527.0757692710863,3032.4909231253037,3537.9060769795205,4043.321230833738,1712.375748987498,2283.1676653166637,2853.95958164583,3424.751497974996,3995.5434143041616,4566.335330633327,1248.7417127563463,1796.404202125897,2344.0666914954477,2891.729180864999,3439.3916702345496,1343.5994354299073,1808.274605397374,2272.9497753648407,2737.624945332307,3202.300115299774
.IXIC,2006-06-30,2172.09,21.50358,19.87261,17.35982,18.626541534246577,101.01062241729052,116.61263020869531,1515.1593362593578,2020.2124483458103,2525.265560432263,3030.3186725187156,3535.371784605168,4040.4248966916207,1749.1894531304297,2332.252604173906,2915.3157552173825,3498.3789062608594,4081.442057304336,4664.505208347812,1247.8472072122997,1795.1173919699334,2342.387576727567,2889.6577614852013,3436.927946242835,1372.4849601938345,1847.1500019752784,2321.815043756723,2796.480085538167,3271.1451273196108
.IXIC,2006-07-07,2130.06,21.29579,19.52324,16.98878,18.21781950684932,100.02258662392894,116.92178634216708,1500.3387993589342,2000.4517324785788,2500.5646655982237,3000.6775987178685,3500.790531837513,4000.9034649571577,1753.8267951325063,2338.4357268433414,2923.044658554177,3507.6535902650126,4092.262521975848,4676.871453686683,1235.6413849347311,1777.5584442661464,2319.475503597562,2861.3925629289774,3403.3096222603926,1376.1236067347993,1852.0470508758226,2327.970495016846,2803.8939391578697,3279.817383298893
.IXIC,2006-07-14,2037.35,20.41199,18.74301,16.28302,17.428768767123287,99.81143435794354,116.89580757093695,1497.171515369153,1996.2286871588708,2495.2858589485886,2994.343030738306,3493.400202528024,3992.4573743177416,1753.4371135640542,2337.916151418739,2922.395189273424,3506.8742271281085,4091.3532649827935,4675.832302837478,1233.0328893220824,1773.805936896591,2314.5789844711,2855.352032045609,3396.125079620118,1375.8178467778043,1851.635545816352,2327.4532448549,2803.2709438934476,3279.0886429319953
.IXIC,2006-07-21,2020.39,20.52735,18.65125,16.10755,17.243503698630136,98.42429733989046,117.1681831784862,1476.3644600983569,1968.4859467978092,2460.6074334972614,2952.7289201967137,3444.850406896166,3936.9718935956184,1757.522747677293,2343.363663569724,2929.204579462155,3515.045495354586,4100.886411247017,4686.727327139448,1215.8967207432215,1749.1543336635616,2282.4119465839017,2815.669559504242,3348.927172424582,1379.023600941963,1855.949989312929,2332.876377683895,2809.802766054861,3286.729154425827
.IXIC,2006-07-28,2094.14,20.6719,19.79347,17.10785,18.255676630136985,101.30370212704202,114.71171638431274,1519.5555319056302,2026.0740425408403,2532.5925531760504,3039.1110638112605,3545.6295744464705,4052.1480850816806,1720.675745764691,2294.234327686255,2867.7929096078183,3441.351491529382,4014.9100734509457,4588.46865537251,1251.4678036263397,1800.3258786777467,2349.183953729154,2898.0420287805614,3446.900103831968,1350.1119493980013,1817.039430177188,2283.9669109563747,2750.8943917355614,3217.821872514748
.IXIC,2006-08-04,2085.05,20.67775,20.36111,17.48688,18.66019580821918,100.83543905889181,111.7378414154479,1512.5315858833771,2016.708781177836,2520.885976472295,3025.0631717667543,3529.2403670612134,4033.417562355672,1676.0676212317185,2234.756828308958,2793.4460353861978,3352.135242463437,3910.8244495406766,4469.513656617916,1245.683057944663,1792.00410857538,2338.325159206098,2884.646209836815,3430.9672604675325,1315.1106063963105,1769.9330992010148,2224.755592005719,2679.578084810423,3134.4005776151275
.IXIC,2006-08-11,2057.71,20.57976,20.10599,17.05422,18.24148394520548,99.98707467919937,112.8038709011303,1499.8061201879905,1999.7414935839874,2499.676866979984,2999.612240375981,3499.547613771978,3999.482987167975,1692.0580635169545,2256.077418022606,2820.0967725282576,3384.116127033909,3948.1354815395603,4512.154836045212,1235.2026837368471,1776.9273412387502,2318.651998740653,2860.3766562425567,3402.1013137444597,1327.6573556944252,1786.819060550655,2245.980765406885,2705.1424702631152,3164.304175119345
.IXIC,2006-08-18,2163.95,21.44281,21.0345,17.9209,19.07250547945205,100.91727716656537,113.45913636419465,1513.7591574984806,2018.3455433313075,2522.931929164134,3027.518314996961,3532.104700829788,4036.691086662615,1701.8870454629198,2269.1827272838927,2836.4784091048664,3403.7740909258396,3971.0697727468128,4538.3654545677855,1246.6940551215948,1793.4585002709764,2340.2229454203584,2886.9873905697405,3433.7518357191225,1335.3695734137302,1797.1984988604463,2259.0274243071626,2720.8563497538785,3182.685275200595
.IXIC,2006-08-25,2140.29,21.14715,20.71978,17.82618,18.84092191780822,101.20938282463594,113.59794437537703,1518.140742369539,2024.1876564927188,2530.2345706158985,3036.281484739078,3542.328398862258,4048.3753129854376,1703.9691656306554,2271.9588875075406,2839.9486093844257,3407.938331261311,3975.928053138196,4543.917775015081,1250.3026184678183,1798.6496765507252,2346.9967346336325,2895.3437927165396,3443.6908507994467,1337.0032893102098,1799.3972248275293,2261.7911603448492,2724.185095862169,3186.5790313794882
