Instrument,Date,Price,PE,Forward_PE
.SOX,2006-06-30,441.72,24.65011,20.05425
.SOX,2006-07-31,412.76,21.15464,18.86285
.SOX,2006-08-31,449.22,22.9065,20.75514
.SOX,2006-09-29,454.7,23.15079,20.89883
.SOX,2006-10-31,458.14,21.54971,20.62133
.SOX,2006-11-30,479.02,22.98826,21.73671
.SOX,2006-12-29,467.92,22.06399,21.13293
.SOX,2007-01-31,458.93,23.25554,21.72865
.SOX,2007-02-28,473.55,23.94691,22.90765
.SOX,2007-03-30,465.57,23.81018,22.76662
.SOX,2007-04-30,492.94,25.92016,23.98035
.SOX,2007-05-31,488.26,25.60078,23.79581
.SOX,2007-06-29,501.16,26.08493,24.64408
.SOX,2007-07-31,499.08,25.98725,24.95039
.SOX,2007-08-31,497.44,26.03424,24.80639
.SOX,2007-09-28,500.09,26.24326,24.65432
.SOX,2007-10-31,463.39,25.66602,23.25849
.SOX,2007-11-30,414.58,23.35955,21.08033
.SOX,2007-12-31,408.04,23.2084,20.4708
.SOX,2008-01-31,359.0,18.73452,15.56187
.SOX,2008-02-29,348.05,18.38473,15.00469
.SOX,2008-03-31,343.94,18.43145,15.27404
.SOX,2008-04-30,385.16,20.2625,18.02574
.SOX,2008-05-30,415.2,21.72783,19.70619
.SOX,2008-06-30,368.16,19.17145,17.45048
.SOX,2008-07-31,340.86,19.55726,16.68464
.SOX,2008-08-29,352.82,21.09192,18.14075
.SOX,2008-09-30,306.89,18.43409,15.62342
.SOX,2008-10-31,239.47,14.59848,13.88602
.SOX,2008-11-28,198.24,12.31074,12.34548
.SOX,2008-12-31,212.17,13.3151,14.2728
.SOX,2009-01-30,208.26,13.91257,31.82468
.SOX,2009-02-27,199.0,13.69881,32.02974
.SOX,2009-03-31,230.91,14.96913,30.87531
.SOX,2009-04-30,258.54,18.11338,32.55554
.SOX,2009-05-29,271.31,19.18059,32.55856
.SOX,2009-06-30,263.15,19.7539,28.74394
.SOX,2009-07-31,301.74,24.09432,32.95596
.SOX,2009-08-31,306.18,23.75235,30.97511
.SOX,2009-09-30,325.75,24.82884,30.94697
.SOX,2009-10-30,296.61,29.48009,21.26165
.SOX,2009-11-30,310.05,31.33333,22.21981
.SOX,2009-12-31,359.91,43.24342,24.36756
.SOX,2010-01-29,316.07,29.42779,13.80132
.SOX,2010-02-26,338.86,32.77472,14.3737
.SOX,2010-03-31,366.57,33.44879,15.01629
.SOX,2010-04-30,376.07,22.41356,13.4555
.SOX,2010-05-28,355.66,21.76021,12.19498
.SOX,2010-06-30,332.3,17.25618,11.25278
.SOX,2010-07-30,348.81,14.01317,10.78009
.SOX,2010-08-31,307.49,11.83759,9.61588
.SOX,2010-09-30,349.24,13.2654,11.04004
.SOX,2010-10-29,372.64,11.99114,11.14155
.SOX,2010-11-30,390.12,12.56175,11.47668
.SOX,2010-12-31,411.82,13.34856,12.60167
.SOX,2011-01-31,440.51,14.28868,13.14606
.SOX,2011-02-28,458.62,14.13269,13.17589
.SOX,2011-03-31,437.36,13.54572,12.65082
.SOX,2011-04-29,449.56,12.99411,12.84458
.SOX,2011-06-30,410.35,12.29704,11.82616
.SOX,2011-07-29,386.94,11.53496,11.76135
.SOX,2011-08-31,355.79,10.33938,11.00831
.SOX,2011-09-30,338.82,9.94757,10.77975
.SOX,2011-10-31,386.49,11.70397,12.98013
.SOX,2011-11-30,373.32,11.67192,12.9439
.SOX,2011-12-30,364.44,11.08073,11.82109
.SOX,2012-01-31,408.94,14.24979,14.13042
.SOX,2012-02-29,424.17,14.92053,14.39266
.SOX,2012-03-30,438.64,14.7413,14.97775
.SOX,2012-04-30,413.39,14.86037,14.40419
.SOX,2012-05-31,368.37,14.06049,12.65695
.SOX,2012-06-29,385.46,14.62256,13.50774
.SOX,2012-07-31,383.72,15.89512,14.47546
.SOX,2012-08-31,396.18,17.05297,15.21153
.SOX,2012-09-28,382.27,16.39341,14.25476
.SOX,2012-10-31,367.03,15.79183,14.39114
.SOX,2012-11-30,374.35,17.70187,14.67346
.SOX,2012-12-31,384.06,17.76871,15.76339
.SOX,2013-01-31,412.73,19.69487,15.09301
.SOX,2013-02-28,426.63,20.00935,15.48268
.SOX,2013-03-28,436.66,20.17331,15.8284
.SOX,2013-04-30,444.36,21.00673,16.16145
.SOX,2013-05-31,468.63,19.98196,16.82188
.SOX,2013-06-28,468.43,21.50692,16.47792
.SOX,2013-07-31,477.78,22.9709,16.62093
.SOX,2013-08-30,457.7,20.82435,16.00244
.SOX,2013-09-30,490.83,22.21364,16.91201
.SOX,2013-10-31,507.09,22.44094,17.53208
.SOX,2013-11-29,510.25,22.37798,17.36846
.SOX,2013-12-31,535.03,24.80596,19.02012
.SOX,2014-01-31,529.18,22.83105,15.07764
.SOX,2014-02-28,563.83,23.42415,15.98839
.SOX,2014-03-31,586.74,23.94511,16.06455
.SOX,2014-04-30,575.97,21.70067,15.43307
.SOX,2014-05-30,599.59,21.80436,15.90684
