Instrument,Date,Price,PE,Y1_PE,Y2_PE,Forward_PE
.SOX,2006-06-02,474.65,26.90227,21.54201,18.63382,20.32296049315069
.SOX,2006-06-09,444.16,25.22279,20.10333,17.2567,18.855492191780822
.SOX,2006-06-16,453.53,25.76208,20.51711,17.64177,19.201543479452056
.SOX,2006-06-23,445.41,25.29703,20.13229,17.30275,18.783413397260276
.SOX,2006-06-30,441.72,24.65011,20.05425,17.24201,18.65968715068493
.SOX,2006-07-07,424.24,23.64385,19.38832,16.67875,17.992705863013697
.SOX,2006-07-14,409.01,22.80363,18.70008,16.06748,17.293622465753423
.SOX,2006-07-21,384.88,20.24627,17.65106,15.13229,16.257110575342466
.SOX,2006-07-28,412.21,21.13543,18.82964,16.61695,17.562647643835618
.SOX,2006-08-04,411.03,21.05485,18.73354,16.51199,17.418869315068495
.SOX,2006-08-11,405.39,20.77255,18.48697,16.31523,17.160126109589044
.SOX,2006-08-18,445.87,22.75673,20.53422,18.17279,19.046195616438357
.SOX,2006-08-25,433.69,22.11943,20.06251,17.78908,18.586337643835616
.SOX,2006-09-01,444.52,22.66645,20.5245,18.17731,18.955419561643836
.SOX,2006-09-08,438.69,22.32223,20.35229,17.83078,18.618320109589042
.SOX,2006-09-15,463.65,23.59555,21.26697,18.73291,19.475771424657534
.SOX,2006-09-22,449.3,22.85181,20.59957,18.09446,18.780791506849315
.SOX,2006-09-29,454.7,23.15079,20.89883,18.28585,18.95162298630137
.SOX,2006-10-06,451.32,22.94938,20.55077,18.22433,18.772477506849313
.SOX,2006-10-13,471.27,23.9624,21.55085,19.11688,19.643684465753424
.SOX,2006-10-20,447.23,21.32876,20.15979,18.41598,18.759964438356164
.SOX,2006-10-27,452.31,21.27726,20.33145,18.56939,18.883181506849315
.SOX,2006-11-03,449.17,21.11349,20.29335,18.61241,18.879518273972604
.SOX,2006-11-10,461.32,21.64484,20.94033,19.31412,19.541343863013697
.SOX,2006-11-17,483.25,22.50688,22.30028,20.24616,20.49377994520548
.SOX,2006-11-24,489.33,22.78722,22.60969,20.52792,20.73894873972603
.SOX,2006-12-01,474.09,22.62079,21.55761,19.39913,19.57653931506849
.SOX,2006-12-08,477.38,22.73173,21.72965,19.66501,19.795110602739726
.SOX,2006-12-15,475.84,22.64758,21.76302,19.76344,19.851092821917806
.SOX,2006-12-22,463.67,21.86284,20.94527,19.23605,19.27819515068493
.SOX,2006-12-29,467.92,22.06399,21.13293,19.43432,19.443627452054795
.SOX,2007-01-05,469.09,22.12453,19.54312,,19.54312
.SOX,2007-01-12,482.51,22.74749,20.60731,,20.60731
.SOX,2007-01-19,456.83,21.64073,19.69273,,19.69273
.SOX,2007-01-26,462.78,22.17108,21.53504,16.98019,21.210584931506848
.SOX,2007-02-02,466.49,23.64431,22.56607,16.81531,22.046138273972602
.SOX,2007-02-09,463.19,23.76351,22.03336,17.68326,21.556636712328764
.SOX,2007-02-16,473.13,23.9317,22.73439,18.22114,22.15323178082192
.SOX,2007-02-23,488.5,24.74742,23.2667,18.96788,22.63071019178082
.SOX,2007-03-02,461.34,23.35572,22.3448,18.0066,21.619785753424658
.SOX,2007-03-09,475.05,24.2488,22.92594,18.83982,22.164690246575343
