Instrument,Date,Price,PE,Forward_PE,EPS,Forward_EPS,Band_15x,Band_20x,Band_25x,Band_30x,Band_35x,Band_40x,Band_fwd_15x,Band_fwd_20x,Band_fwd_25x,Band_fwd_30x,Band_fwd_35x,Band_fwd_40x,SD_minus_2,SD_minus_1,SD_mean,SD_plus_1,SD_plus_2,SD_fwd_minus_2,SD_fwd_minus_1,SD_fwd_mean,SD_fwd_plus_1,SD_fwd_plus_2
.SOX,2006-06-30,441.72,24.65011,20.05425,17.919595490648927,22.02625378660384,268.7939323597339,358.39190981297855,447.98988726622315,537.5878647194678,627.1858421727125,716.7838196259571,330.3938067990576,440.52507573207674,550.656344665096,660.7876135981152,770.9188825311344,881.0501514641535,146.56442618381104,287.4988975757954,428.4333689677798,569.3678403597643,710.3023117517487,182.88071821224725,306.6153346197709,430.34995102729454,554.0845674348182,677.8191838423418
.SOX,2006-07-31,412.76,21.15464,18.86285,19.511558693506483,21.88216520833278,292.6733804025973,390.2311738701297,487.7889673376621,585.3467608051945,682.904554272727,780.4623477402594,328.2324781249917,437.6433041666556,547.0541302083195,656.4649562499834,765.8757822916473,875.2866083333112,159.5850980764504,313.04008046921604,466.4950628619817,619.9500452547475,773.4050276475131,181.68437211836815,304.6095569659995,427.5347418136308,550.4599266612621,673.3851115088934
.SOX,2006-08-31,449.22,22.9065,20.75514,19.611027437626873,21.64379522373735,294.1654115644031,392.22054875253747,490.27568594067185,588.3308231288062,686.3859603169406,784.4410975050749,324.65692835606023,432.875904474747,541.0948805934337,649.3138567121205,757.5328328308073,865.751808949494,160.39865323805193,314.635939834054,468.8732264300562,623.1105130260584,777.3477996220604,179.7052214917842,301.2913398375612,422.8774581833382,544.4635765291152,666.0496948748922
.SOX,2006-09-29,454.7,23.15079,20.89883,19.640798434956213,21.757198847973786,294.6119765243432,392.81596869912426,491.01996087390535,589.2239530486864,687.4279452234674,785.6319373982485,326.3579827196068,435.1439769594757,543.9299711993447,652.7159654392136,761.5019596790825,870.2879539189514,160.64215031602848,315.1135805774728,469.5850108389172,624.0564411003616,778.5278713618059,180.64679496356743,302.86996916460083,425.09314336563415,547.3163175666675,669.5394917677008
.SOX,2006-10-31,458.14,21.54971,20.62133,21.259682844919954,22.21680172908343,318.8952426737993,425.19365689839907,531.4920711229988,637.7904853475986,744.0888995721984,850.3873137967981,333.2520259362514,444.33603458166857,555.4200432270857,666.5040518725028,777.58806051792,888.6720691633371,173.88301084371557,341.0866826717747,508.290354499834,675.4940263278933,842.6976981559524,184.46280951620415,309.26784746696336,434.0728854177226,558.8779233684818,683.682961319241
.SOX,2006-11-30,479.02,22.98826,21.73671,20.837592753866538,22.03737364118121,312.56389130799806,416.7518550773308,520.9398188466635,625.1277826159961,729.3157463853288,833.5037101546616,330.5606046177181,440.74747282362415,550.9343410295302,661.1212092354363,771.3080774413423,881.4949456472483,170.43073470135516,334.3147420931579,498.1987494849608,662.0827568767636,825.9667642685664,182.97304471548412,306.7701279843256,430.567211253167,554.3642945220084,678.1613777908499
.SOX,2006-12-29,467.92,22.06399,21.13293,21.207406276018073,22.141747500228316,318.1110941402711,424.1481255203615,530.1851569004518,636.2221882805422,742.2592196606325,848.296251040723,332.12621250342477,442.83495000456634,553.5436875057079,664.2524250068495,774.961162507991,885.6699000091327,173.4554406271914,340.24796642194764,507.04049221670397,673.8330180114602,840.6255438062166,183.83964538621316,308.22305892879467,432.6064724713761,556.9898860139575,681.373299556539
.SOX,2007-01-31,458.93,23.25554,21.72865,19.734222469140686,21.120962415980745,296.0133370371103,394.68444938281374,493.35556172851716,592.0266740742206,690.697786419924,789.3688987656275,316.8144362397112,422.4192483196149,528.0240603995186,633.6288724794224,739.2336845593261,844.8384966392298,161.40626577662408,316.6124596592654,471.8186535419069,627.0248474245483,782.2310413071897,175.36421823658668,294.0132725886501,412.6623269407135,531.3113812927769,649.9604356448403
.SOX,2007-02-28,473.55,23.94691,22.90765,19.774993934499275,20.67213354490749,296.62490901748913,395.4998786899855,494.3748483624819,593.2498180349783,692.1247877074746,790.999757379971,310.08200317361235,413.4426708981498,516.8033386226872,620.1640063472247,723.5246740717621,826.8853417962996,161.73973571617003,317.2665900133385,472.793444310507,628.3202986076756,783.8471529048439,171.63765869125942,287.7653733396712,403.893087988083,520.0208026364948,636.1485172849066
.SOX,2007-03-30,465.57,23.81018,22.76662,19.553401108265458,20.449675885133587,293.30101662398187,391.0680221653092,488.8350277066364,586.6020332479637,684.369038789291,782.1360443306183,306.7451382770038,408.99351770267174,511.2418971283397,613.4902765540076,715.7386559796755,817.9870354053435,159.92732731440915,313.71139295064967,467.4954585868902,621.2795242231308,775.0635898593713,169.79062573752083,284.6686629116914,399.54670008586197,514.4247372600325,629.3027744342031
.SOX,2007-04-30,492.94,25.92016,23.98035,19.01762952080543,20.555996889119633,285.2644428120814,380.35259041610857,475.4407380201357,570.5288856241629,665.6170332281899,760.7051808322171,308.3399533367945,411.11993778239264,513.8999222279908,616.679906673589,719.4598911191872,822.2398755647853,155.54524986614055,305.11556606228197,454.6858822584235,604.2561984545649,753.8265146507064,170.67339326387344,286.1486989872822,401.6240047106909,517.0993104340996,632.5746161575083
.SOX,2007-05-31,488.26,25.60078,23.79581,19.072075147710343,20.5187383829338,286.08112721565516,381.44150295420684,476.8018786927586,572.1622544313103,667.522630169862,762.8830059084137,307.781075744007,410.37476765867603,512.9684595733451,615.562151488014,718.155843402683,820.7495353173521,155.9905608146885,305.98908230438434,455.9876037940802,605.9861252837761,755.9846467734719,170.3640414132685,285.6300438654317,400.89604631759477,516.1620487697579,631.428051221921
.SOX,2007-06-29,501.16,26.08493,24.64408,19.212625834150217,20.335918403121564,288.18938751225323,384.25251668300433,480.3156458537554,576.3787750245065,672.4419041952576,768.5050333660087,305.03877604682344,406.7183680624313,508.3979600780391,610.0775520936469,711.7571441092548,813.4367361248626,157.14012530784632,308.2440532620754,459.3479812163045,610.4519091705337,761.5558371247627,168.84611423711178,283.08510772566007,397.3241012142083,511.5630947027566,625.8020881913048
