Instrument,Date,Price,PE,Y1_PE,Y2_PE,Forward_PE,Source,EPS,Forward_EPS,Band_15x,Band_20x,Band_25x,Band_30x,Band_35x,Band_40x,Band_fwd_15x,Band_fwd_20x,Band_fwd_25x,Band_fwd_30x,Band_fwd_35x,Band_fwd_40x,SD_minus_2,SD_minus_1,SD_mean,SD_plus_1,SD_plus_2,SD_fwd_minus_2,SD_fwd_minus_1,SD_fwd_mean,SD_fwd_plus_1,SD_fwd_plus_2
.SOX,2006-06-02,474.65,26.90227,21.54201,18.63382,20.32296049315069,LSEG,17.643492537990287,23.355357117382976,264.6523880698543,352.86985075980573,441.0873134497572,529.3047761397086,617.5222388296601,705.7397015196115,350.3303567607446,467.10714234765953,583.8839279345744,700.6607135214892,817.4374991084042,934.2142846953191,127.0599832782144,276.2270965133788,425.3942097485431,574.5613229837074,723.7284362188718,205.61782163732028,314.5540422695249,423.4902629017295,532.4264835339342,641.3627041661388
.SOX,2006-06-09,444.16,25.22279,20.10333,17.2567,18.855492191780822,LSEG,17.60947143436551,23.55600137521793,264.14207151548266,352.18942868731017,440.23678585913774,528.2841430309653,616.3315002027929,704.3788573746203,353.340020628269,471.12002750435863,588.9000343804482,706.680041256538,824.4600481326277,942.2400550087173,126.8149795836022,275.6944610017748,424.57394241994746,573.45342383812,722.3329052562926,207.38427012332326,317.256354293398,427.1284384634727,537.0005226335475,646.8726068036223
.SOX,2006-06-16,453.53,25.76208,20.51711,17.64177,19.201543479452056,LSEG,17.604556774918795,23.619455409161834,264.0683516237819,352.0911354983759,440.11391937296986,528.1367032475638,616.1594871221578,704.1822709967518,354.2918311374275,472.38910818323666,590.4863852290458,708.583662274855,826.6809393206642,944.7782163664733,126.77958656003993,275.6175169326573,424.4554473052746,573.2933776778918,722.1313080505092,207.94291198728922,318.1109643417499,428.27901669621053,538.4470690506712,648.6151214051318
.SOX,2006-06-23,445.41,25.29703,20.13229,17.30275,18.78341339726028,LSEG,17.607205272713834,23.71294240188351,264.1080790907075,352.14410545427666,440.18013181784585,528.216158181415,616.2521845449842,704.2882109085533,355.6941360282526,474.2588480376702,592.8235600470878,711.3882720565052,829.9529840659228,948.5176960753404,126.79865977271739,275.6589819008018,424.5193040288862,573.3796261569705,722.239948285055,208.76596049381573,319.3700635416648,429.9741665895139,540.5782696373631,651.1823726852122
.SOX,2006-06-30,441.72,24.65011,20.05425,17.24201,18.65968715068493,LSEG,17.919595490648927,23.67242260992495,268.7939323597339,358.39190981297855,447.98988726622315,537.5878647194678,627.1858421727125,716.7838196259571,355.08633914887423,473.448452198499,591.8105652481238,710.1726782977485,828.5347913473732,946.896904396998,129.0483445095485,280.5497733749722,432.05120224039587,583.5526311058195,735.0540599712433,208.40922900331262,318.8243358831912,429.23944276306975,539.6545496429484,650.0696565228269
.SOX,2006-07-07,424.24,23.64385,19.38832,16.67875,17.992705863013697,LSEG,17.94293230586389,23.57844357763217,269.14398458795836,358.85864611727783,448.5733076465973,538.2879691759167,628.0026307052362,717.7172922345557,353.67665366448256,471.56887155264343,589.4610894408042,707.3533073289651,825.245525217126,943.1377431052869,129.21640507604891,280.91513531761586,432.6138655591828,584.3125958007497,736.0113260423167,207.58184863817823,317.5586098081114,427.53537097804457,537.5121321479778,647.488893317911
.SOX,2006-07-14,409.01,22.80363,18.70008,16.06748,17.293622465753423,LSEG,17.936179459147514,23.650915290302127,269.0426918872127,358.72358918295026,448.40448647868783,538.0853837744254,627.766281070163,717.4471783659005,354.7637293545319,473.0183058060425,591.2728822575532,709.5274587090638,827.7820351605744,946.036611612085,129.16777430813173,280.80941252845446,432.45105074877716,584.0926889690998,735.7343271894225,208.21988108677783,318.53467153373424,428.84946198069065,539.164252427647,649.4790428746035
.SOX,2006-07-21,384.88,20.24627,17.65106,15.13229,16.257110575342466,LSEG,19.009921333658003,23.67456370652706,285.14882000487006,380.19842667316004,475.2480333414501,570.2976400097401,665.34724667803,760.3968533463201,355.1184555979059,473.4912741305412,591.8640926631765,710.2369111958118,828.6097297284471,946.9825482610825,136.9003490422247,297.6199504512737,458.3395518603228,619.0591532693718,779.7787546784209,208.42807896638655,318.85317254741767,429.27826612844876,539.7033597094799,650.128453290511
.SOX,2006-07-28,412.21,21.13543,18.82964,16.61695,17.562647643835618,LSEG,19.503270101436307,23.47083471464413,292.5490515215446,390.0654020287261,487.5817525359077,585.0981030430892,682.6144535502707,780.1308040574522,352.06252071966196,469.4166942928826,586.7708678661032,704.1250414393239,821.4792150125446,938.8333885857652,140.45321058872773,305.34383490319965,470.2344592176716,635.1250835321434,800.0157078466154,206.6344728440397,316.10931478484144,425.5841567256432,535.058998666445,644.5338406072467
.SOX,2006-08-04,411.03,21.05485,18.73354,16.51199,17.418869315068495,LSEG,19.52186788317181,23.596824372775526,292.8280182475772,390.4373576634362,488.0466970792953,585.6560364951544,683.2653759110134,780.8747153268724,353.9523655916329,471.93648745551053,589.9206093193882,707.9047311832658,825.8888530471434,943.8729749110211,140.58714290576967,305.635002382616,470.6828618594624,635.7307213363086,800.778580813155,207.7436710003174,317.80616557801085,427.86866015570433,537.9311547333978,647.9936493110913
.SOX,2006-08-11,405.39,20.77255,18.48697,16.31523,17.160126109589044,LSEG,19.515658886366865,23.623952260669512,292.734883295503,390.3131777273373,487.8914721591716,585.469766591006,683.0480610228402,780.6263554546746,354.3592839100427,472.47904521339024,590.5988065167378,708.7185678200854,826.8383291234329,944.9580904267805,140.54242868444913,305.5377941254641,470.533159566479,635.528525007494,800.523890448509,207.9825017399352,318.1715287258489,428.3605557117625,538.5495826976762,648.7386096835899
.SOX,2006-08-18,445.87,22.75673,20.53422,18.17279,19.04619561643836,LSEG,19.59288526954444,23.409924426859252,293.89327904316656,391.8577053908888,489.822131738611,587.7865580863331,685.7509844340553,783.7154107817776,351.14886640288876,468.198488537185,585.2481106714813,702.2977328057775,819.3473549400738,936.39697707437,141.09857611013888,306.74685290752996,472.39512970492103,638.0434065023121,803.6916832997032,206.09822582256695,315.28896435550575,424.4797028884446,533.6704414213834,642.8611799543222
.SOX,2006-08-25,433.69,22.11943,20.06251,17.78908,18.586337643835616,LSEG,19.606743935083315,23.333806170460836,294.1011590262497,392.1348787016663,490.1685983770829,588.2023180524994,686.236037727916,784.2697574033326,350.00709255691254,466.6761234092167,583.3451542615209,700.0141851138251,816.6832159661293,933.3522468184334,141.1983795820329,306.96382462869633,472.7292696753598,638.4947147220231,804.2601597686865,205.42808963116508,314.26379033995585,423.0994910487466,531.9351917575374,640.7708924663281
.SOX,2006-09-01,444.52,22.66645,20.5245,18.17731,18.95541956164384,LSEG,19.611363932155232,23.450813027609428,294.17045898232846,392.2272786431046,490.2840983038808,588.3409179646569,686.3977376254331,784.4545572862093,351.7621954141414,469.01626055218856,586.2703256902357,703.5243908282828,820.77845596633,938.0325211043771,141.23165058829423,307.036155454032,472.84066031976965,638.6451651855074,804.4496700512451,206.4582042623653,315.8396591954121,425.22111412845885,534.6025690615056,643.9840239945524
.SOX,2006-09-08,438.69,22.32223,20.35229,17.83078,18.61832010958904,LSEG,19.652606392820072,23.562276156916028,294.7890958923011,393.05212785640146,491.3151598205018,589.5781917846022,687.8412237487025,786.1042557128029,353.4341423537404,471.24552313832055,589.0569039229007,706.8682847074808,824.679665492061,942.4910462766411,141.5286590377916,307.68184876775575,473.8350384977199,639.988228227684,806.1414179576482,207.4395125645982,317.3408641528523,427.2422157411064,537.1435673293605,647.0449189176146
.SOX,2006-09-15,463.65,23.59555,21.26697,18.73291,19.47577142465753,LSEG,19.64989161091816,23.80650244297848,294.7483741637724,392.9978322183632,491.24729027295405,589.4967483275448,687.7462063821356,785.9956644367264,357.09753664467723,476.1300488595696,595.162561074462,714.1950732893545,833.2275855042468,952.2600977191393,141.50910847872186,307.6393460534651,473.7695836282083,639.8998212029514,806.0300587776948,209.58965210964325,320.6301465698717,431.6706410301002,542.7111354903287,653.7516299505572
.SOX,2006-09-22,449.3,22.85181,20.59957,18.09446,18.780791506849315,LSEG,19.661462264914682,23.923379365355355,294.92193397372023,393.2292452982937,491.53655662286707,589.8438679474405,688.1511792720139,786.4584905965874,358.85069048033034,478.4675873071071,598.0844841338838,717.7013809606607,837.3182777874374,956.9351746142142,141.59243478728294,307.82049659105496,474.04855839482696,640.276620198599,806.5046820023709,210.61862281037045,322.20426544105374,433.78990807173705,545.3755507024204,656.9611933331037
