Instrument,Date,Price,PE,Forward_PE
.SPX,2006-06-30,1270.2,16.35436,14.62521
.SPX,2006-07-31,1276.66,15.51318,14.56724
.SPX,2006-08-31,1303.82,15.77104,14.85309
.SPX,2006-09-29,1335.85,16.05123,15.29962
.SPX,2006-10-31,1377.94,16.62787,15.6013
.SPX,2006-11-30,1400.63,16.80994,15.83382
.SPX,2006-12-29,1418.3,16.96443,16.21787
.SPX,2007-01-31,1438.24,16.97487,15.1659
.SPX,2007-02-28,1406.82,16.44404,14.86725
.SPX,2007-03-30,1420.86,16.61644,15.06694
.SPX,2007-04-30,1482.37,17.01322,15.65035
.SPX,2007-05-31,1530.62,16.99941,16.09244
.SPX,2007-06-29,1503.35,16.59992,15.66806
.SPX,2007-07-31,1455.27,15.91192,15.06552
.SPX,2007-08-31,1473.99,16.56707,15.31236
.SPX,2007-09-28,1526.75,17.14948,15.9086
.SPX,2007-10-31,1549.38,17.60111,16.2539
.SPX,2007-11-30,1481.14,16.84882,15.98648
.SPX,2007-12-31,1468.36,16.84843,16.13063
.SPX,2008-01-31,1378.55,16.3036,13.59006
.SPX,2008-02-29,1330.63,15.7918,13.28424
.SPX,2008-03-31,1322.7,15.65208,13.28718
.SPX,2008-04-30,1385.59,16.47911,14.36817
.SPX,2008-05-30,1400.38,16.57431,14.63325
.SPX,2008-06-30,1280.0,15.37452,13.19517
.SPX,2008-07-31,1267.38,15.0944,13.13713
.SPX,2008-08-29,1282.83,15.34351,13.5336
.SPX,2008-09-30,1166.36,14.14037,12.5729
.SPX,2008-10-31,968.75,11.70453,10.84132
.SPX,2008-11-28,896.24,10.81045,10.27125
.SPX,2008-12-31,903.25,10.891,10.6488
.SPX,2009-01-30,825.88,10.81157,11.45257
.SPX,2009-02-27,735.09,10.02811,10.6684
.SPX,2009-03-31,797.87,11.17036,11.9019
.SPX,2009-04-30,872.81,12.62454,13.31424
.SPX,2009-05-29,919.14,13.3366,14.05667
.SPX,2009-06-30,919.32,13.31819,14.13934
.SPX,2009-07-31,987.48,14.97244,14.81643
.SPX,2009-08-31,1020.62,16.004,15.3295
.SPX,2009-09-30,1057.08,16.93955,15.84074
.SPX,2009-10-30,1036.19,17.16637,15.28027
.SPX,2009-11-30,1095.63,18.40006,16.07089
.SPX,2009-12-31,1115.1,18.84161,16.31718
.SPX,2010-01-29,1073.87,16.68992,13.35934
.SPX,2010-02-26,1104.49,16.49618,
.SPX,2010-03-31,1169.43,17.48181,
.SPX,2010-04-30,1186.69,17.03038,
.SPX,2010-05-28,1089.41,15.73889,
.SPX,2010-06-30,1030.71,14.8925,12.30892
.SPX,2010-07-30,1101.6,14.89743,13.04574
.SPX,2010-08-31,1049.33,14.05247,12.37376
.SPX,2010-10-29,1183.26,15.18033,13.82131
.SPX,2010-11-30,1180.55,15.02263,13.84854
.SPX,2010-12-31,1257.64,15.93595,14.71335
.SPX,2011-01-31,1286.12,15.86352,13.11526
.SPX,2011-02-28,1327.22,16.17403,13.49692
.SPX,2011-03-31,1325.83,16.18697,13.43141
.SPX,2011-04-29,1363.61,16.08872,13.56544
.SPX,2011-06-30,1320.64,15.36604,13.08855
.SPX,2011-07-29,1292.28,14.58449,12.80725
.SPX,2011-08-31,1218.89,13.66604,12.10697
