Instrument,Date,Price,PE,Y1_PE,Y2_PE,Forward_PE
.SPX,2006-06-02,1288.22,16.62755,14.856,13.39468,14.243446684931508
.SPX,2006-06-09,1252.3,16.2011,14.44073,13.02088,13.81833
.SPX,2006-06-16,1251.54,16.16102,14.44598,13.02118,13.794085205479451
.SPX,2006-06-23,1244.5,16.03494,14.34233,12.94578,13.676577397260273
.SPX,2006-06-30,1270.2,16.35436,14.62521,13.20498,13.920931561643833
.SPX,2006-07-07,1265.48,16.38529,14.5697,13.16356,13.845441589041096
.SPX,2006-07-14,1236.2,15.98696,14.24909,12.86283,13.508485342465754
.SPX,2006-07-21,1240.29,15.89117,14.22512,12.91168,13.498229917808219
.SPX,2006-07-28,1278.55,15.49591,14.59399,13.28594,13.84499698630137
.SPX,2006-08-04,1279.36,15.53194,14.53754,13.3424,13.830279068493152
.SPX,2006-08-11,1266.74,15.39395,14.3712,13.21885,13.667161506849315
.SPX,2006-08-18,1302.3,15.79377,14.76081,13.58032,14.016939589041096
.SPX,2006-08-25,1295.09,15.6817,14.65627,13.50917,13.911440684931506
.SPX,2006-09-01,1311.01,15.85905,14.9441,13.67204,14.093736602739725
.SPX,2006-09-08,1298.92,15.70619,14.83064,13.54384,13.945744657534247
.SPX,2006-09-15,1319.87,15.87559,15.06777,13.74575,14.13330106849315
.SPX,2006-09-22,1314.78,15.79703,15.05097,13.6857,14.059746575342466
.SPX,2006-09-29,1335.85,16.05123,15.29962,13.92675,14.276549753424657
.SPX,2006-10-06,1349.58,16.19048,15.43336,14.05852,14.382454904109588
.SPX,2006-10-13,1365.62,16.33786,15.60452,14.23401,14.530640931506849
.SPX,2006-10-20,1368.6,16.8493,15.56454,14.28732,14.539264767123287
.SPX,2006-10-27,1377.34,16.79987,15.60949,14.36552,14.58704890410959
.SPX,2006-11-03,1364.3,16.44646,15.42631,14.24697,14.43437197260274
.SPX,2006-11-10,1380.9,16.55546,15.62197,14.42002,14.587963698630135
.SPX,2006-11-17,1401.2,16.76073,15.82452,14.6524,14.793696657534246
.SPX,2006-11-24,1400.95,16.77039,15.84575,14.63804,14.760465397260274
.SPX,2006-12-01,1396.71,16.76729,15.79346,14.59582,14.69425616438356
.SPX,2006-12-08,1409.84,16.90458,15.91666,14.72724,14.802189753424658
.SPX,2006-12-15,1427.09,17.09439,16.20151,14.92332,14.979350246575343
.SPX,2006-12-22,1410.76,16.87556,16.07647,14.74837,14.781117671232876
.SPX,2006-12-29,1418.3,16.96443,16.21787,14.82695,14.834571479452054
.SPX,2007-01-05,1409.71,16.8015,14.72501,,14.72501
.SPX,2007-01-12,1430.73,17.05797,15.00242,,15.00242
.SPX,2007-01-19,1430.5,17.01147,15.02119,,15.02119
.SPX,2007-01-26,1422.18,16.87508,14.98226,,14.98226
.SPX,2007-02-02,1448.39,17.0704,15.28916,13.64484,15.140495452054797
.SPX,2007-02-09,1438.06,16.90136,15.19651,13.61151,15.022811369863014
.SPX,2007-02-16,1455.54,17.01098,15.38762,13.7797,15.180572767123287
.SPX,2007-02-23,1451.19,16.94924,15.33763,13.77072,15.105813178082192
.SPX,2007-03-02,1387.17,15.91409,14.67398,13.16389,14.421608794520548
.SPX,2007-03-09,1402.85,16.39295,14.82411,13.31635,14.543212246575342
.SPX,2007-03-16,1386.95,16.25348,14.67999,13.16274,14.368226301369864
.SPX,2007-03-23,1436.11,16.79677,15.20211,13.59454,14.840957287671232
.SPX,2007-03-30,1420.86,16.61644,15.06694,13.46986,14.677515013698631
.SPX,2007-04-05,1443.76,16.81813,15.3068,13.68065,14.883555479452056
.SPX,2007-04-13,1452.85,16.89528,15.37111,13.73765,14.91016101369863
.SPX,2007-04-20,1484.35,17.1913,15.67241,14.00393,15.169580410958904
.SPX,2007-04-27,1494.07,17.12985,15.77306,14.0927,15.23442405479452
.SPX,2007-05-04,1505.62,17.14076,15.89447,14.20493,15.320489287671235
.SPX,2007-05-11,1505.85,17.11153,15.88339,14.20255,15.280129616438359
.SPX,2007-05-18,1522.75,17.30322,16.06294,14.36964,15.422733424657535
.SPX,2007-05-25,1515.73,17.29016,16.00123,14.31077,15.329677397260273
.SPX,2007-06-01,1536.34,17.06125,16.08966,14.48185,15.42010624657534
.SPX,2007-06-08,1507.67,16.69816,15.73512,14.18402,15.059435342465754
.SPX,2007-06-15,1532.91,16.95274,16.00171,14.4275,15.285767917808219
.SPX,2007-06-22,1502.56,16.60265,15.65848,14.10799,14.923590219178084
.SPX,2007-06-29,1503.35,16.59992,15.66806,14.12207,14.90565397260274
.SPX,2007-07-06,1530.44,16.82169,15.8976,14.32032,15.089514082191782
.SPX,2007-07-13,1552.5,17.07175,16.13014,14.5462,15.28826504109589
.SPX,2007-07-20,1534.1,16.84391,15.92304,14.40088,15.084809424657536
.SPX,2007-07-27,1458.95,16.00228,15.11514,13.61462,14.260049150684932
.SPX,2007-08-03,1433.06,15.64844,14.80284,13.3562,13.950709589041097
.SPX,2007-08-10,1453.64,15.91243,15.02379,13.55275,14.129075260273973
.SPX,2007-08-17,1445.94,15.84474,14.96394,13.48704,14.03733698630137
.SPX,2007-08-24,1479.37,16.2138,15.34356,13.81029,14.352185424657534
.SPX,2007-08-31,1473.99,16.56707,15.31236,13.77015,14.285628410958903
.SPX,2007-09-07,1453.55,16.34012,15.11376,13.58893,14.069355890410957
.SPX,2007-09-14,1484.25,16.69437,15.45447,13.89375,14.355552082191782
.SPX,2007-09-21,1525.75,17.16373,15.90446,14.30607,14.748364219178082
.SPX,2007-09-28,1526.75,17.14948,15.9086,14.29511,14.710638931506848
.SPX,2007-10-05,1557.59,17.46031,16.32119,14.60492,15.014003534246577
.SPX,2007-10-12,1561.8,17.49289,16.42717,14.69696,15.076184109589041
.SPX,2007-10-19,1500.63,16.99806,15.81245,14.14135,14.475569999999998
.SPX,2007-10-26,1535.28,17.49005,16.0936,14.49978,14.787977589041095
.SPX,2007-11-02,1509.65,17.11141,15.85432,14.25879,14.516697589041096
.SPX,2007-11-09,1453.7,16.55704,15.45623,13.79718,14.033537808219178
.SPX,2007-11-16,1458.74,16.60514,15.6844,13.8696,14.093342465753425
.SPX,2007-11-23,1440.7,16.40562,15.51911,13.72811,13.914570273972602
.SPX,2007-11-30,1481.14,16.84882,15.98648,14.11674,14.275539835616438
.SPX,2007-12-07,1504.66,17.08838,16.31061,14.40529,14.530571315068494
.SPX,2007-12-14,1467.95,16.67281,16.042,14.15455,14.242458630136987
.SPX,2007-12-21,1484.46,17.02988,16.3599,14.36892,14.423467397260273
.SPX,2007-12-28,1478.49,16.96639,16.24667,14.33206,14.347796520547945
.SPX,2008-01-04,1411.63,16.20718,13.69788,,13.69788
.SPX,2008-01-11,1401.02,16.07533,13.61691,,13.61691
.SPX,2008-01-18,1325.19,15.59263,12.99968,,12.99968
.SPX,2008-01-25,1330.61,15.64991,13.09227,,13.09227
.SPX,2008-02-01,1395.42,16.41265,13.77252,12.3136,13.644964153005466
.SPX,2008-02-08,1331.29,15.6625,13.17818,11.74669,13.025644180327866
.SPX,2008-02-15,1349.99,15.87062,13.40062,12.02191,13.22733950819672
.SPX,2008-02-22,1353.11,15.86517,13.45479,12.07006,13.254268989071036
.SPX,2008-02-29,1330.63,15.7918,13.28424,11.82695,13.04534
.SPX,2008-03-07,1293.37,15.37015,12.94891,11.4825,12.680468825136613
.SPX,2008-03-14,1288.14,15.31986,12.9837,11.49987,12.683690655737706
.SPX,2008-03-20,1329.51,15.84322,13.40446,11.89923,13.075447978142076
.SPX,2008-03-28,1315.22,15.55332,13.20645,11.65334,12.833024644808741
.SPX,2008-04-04,1370.4,16.18535,13.98255,12.27846,13.540231557377052
.SPX,2008-04-11,1332.83,15.77606,13.6414,11.89933,13.155905081967214
.SPX,2008-04-18,1390.33,16.41821,14.34546,12.50082,13.7961
.SPX,2008-04-25,1397.84,16.58838,14.50042,12.59963,13.897983825136611
.SPX,2008-05-02,1413.9,16.73239,14.65886,12.75401,14.018705491803278
.SPX,2008-05-09,1388.28,16.37275,14.38337,12.50462,13.716054426229508
.SPX,2008-05-16,1425.35,16.81964,14.87525,12.87664,14.127136420765027
.SPX,2008-05-23,1375.93,16.26685,14.38849,12.41961,13.613848688524591
.SPX,2008-05-30,1400.38,16.57431,14.63325,12.64427,13.812659890710382
.SPX,2008-06-06,1360.68,16.13928,14.15309,12.2414,13.327824918032785
.SPX,2008-06-13,1360.03,16.1247,14.13343,12.20678,13.264858278688525
.SPX,2008-06-20,1317.93,15.78455,13.72824,11.84615,12.843760546448086
.SPX,2008-06-27,1278.38,15.34174,13.16724,11.46122,12.332875027322405
.SPX,2008-07-03,1262.9,15.16331,13.0347,11.34998,12.183133879781423
