Instrument,Date,Price,PE,Forward_PE,EPS,Forward_EPS,Band_12x,Band_15x,Band_18x,Band_21x,Band_24x,Band_27x,Band_fwd_12x,Band_fwd_15x,Band_fwd_18x,Band_fwd_21x,Band_fwd_24x,Band_fwd_27x,SD_minus_2,SD_minus_1,SD_mean,SD_plus_1,SD_plus_2,SD_fwd_minus_2,SD_fwd_minus_1,SD_fwd_mean,SD_fwd_plus_1,SD_fwd_plus_2
.SPX,2006-06-30,1270.2,16.35436,14.62521,77.66736209793596,86.8500349738568,932.0083451752316,1165.0104314690395,1398.0125177628474,1631.0146040566553,1864.0166903504633,2097.018776644271,1042.2004196862815,1302.750524607852,1563.3006295294222,1823.8507344509926,2084.400839372563,2344.9509442941335,868.6101747931323,1209.6984224349344,1550.7866700767365,1891.8749177185387,2232.963165360341,917.4938265989778,1210.141362000643,1502.7888974023083,1795.4364328039737,2088.083968205639
.SPX,2006-07-31,1276.66,15.51318,14.56724,82.29518383722744,87.63911351772883,987.5422060467292,1234.4277575584117,1481.313309070094,1728.1988605817762,1975.0844120934585,2221.969963605141,1051.669362212746,1314.5867027659324,1577.5040433191189,1840.4213838723053,2103.338724425492,2366.2560649786783,920.3664459126358,1281.7784893525125,1643.1905327923891,2004.6025762322658,2366.0146196721425,925.8297437108388,1221.1361368915711,1516.4425300723035,1811.748923253036,2107.0553164337684
.SPX,2006-08-31,1303.82,15.77104,14.85309,82.67178321784739,87.78106104521012,992.0613986141686,1240.0767482677109,1488.092097921253,1736.1074475747953,1984.1227972283373,2232.1381468818795,1053.3727325425216,1316.7159156781518,1580.0590988137822,1843.4022819494126,2106.745465085043,2370.0886482206733,924.5782286356642,1287.6441665729062,1650.710104510148,2013.77604244739,2376.841980384632,927.3292938285133,1223.113989569357,1518.8986853102008,1814.6833810510445,2110.4680767918885
.SPX,2006-09-29,1335.85,16.05123,15.29962,83.22415166937361,87.31262606522252,998.6898200324833,1248.3622750406041,1498.0347300487251,1747.707185056846,1997.3796400649667,2247.0520950730875,1047.7515127826703,1309.6893909783378,1571.6272691740053,1833.5651473696728,2095.5030255653405,2357.440903761008,930.7557637581447,1296.2475132859247,1661.7392628137047,2027.2310123414845,2392.722761869265,922.3806924556869,1216.5869623221995,1510.7932321887122,1804.9995020552249,2099.2057719217373
.SPX,2006-10-31,1377.94,16.62787,15.6013,82.86930316390493,88.322127002237,994.4316379668592,1243.039547458574,1491.6474569502889,1740.2553664420036,1988.8632759337183,2237.4711854254333,1059.865524026844,1324.831905033555,1589.798286040266,1854.764667046977,2119.731048053688,2384.697429060399,926.7872367728768,1290.7206141396969,1654.6539915065168,2018.5873688733366,2382.5207462401568,933.0451772533669,1230.6530342498315,1528.2608912462963,1825.868748242761,2123.4766052392256
.SPX,2006-11-30,1400.63,16.80994,15.83382,83.32153475860116,88.458123181898,999.8584171032139,1249.8230213790175,1499.7876256548209,1749.7522299306243,1999.7168342064278,2249.6814384822314,1061.497478182776,1326.8718477284701,1592.246217274164,1857.620586819858,2122.994956365552,2388.369325911246,931.8448691412935,1297.7642915854356,1663.6837140295777,2029.6031364737196,2395.5225589178617,934.4818566435085,1232.547962698984,1530.6140687544598,1828.6801748099354,2126.746280865411
.SPX,2006-12-29,1418.3,16.96443,16.21787,83.60434155465288,87.45291459359335,1003.2520986558345,1254.0651233197932,1504.8781479837517,1755.6911726477103,2006.504197311669,2257.3172219756275,1049.4349751231202,1311.7937189039003,1574.1524626846804,1836.5112064654604,2098.8699502462405,2361.2286940270205,935.0077016865963,1302.1691139689517,1669.3305262513072,2036.4919385336623,2403.653350816018,923.8627167146482,1218.5416990226147,1513.2206813305813,1807.899663638548,2102.5786459465144
.SPX,2007-01-31,1438.24,16.97487,15.1659,84.7276002702819,94.83380478573642,1016.7312032433828,1270.9140040542284,1525.096804865074,1779.2796056759198,2033.4624064867655,2287.6452072976113,1138.005657428837,1422.5070717860463,1707.0084861432556,1991.5099005004647,2276.011314857674,2560.512729214883,947.569914731635,1319.6642916031465,1691.758668474658,2063.8530453461694,2435.947422217681,1001.8352954031272,1321.3847262313643,1640.9341570596014,1960.4835878878382,2280.0330187160753
.SPX,2007-02-28,1406.82,16.44404,14.86725,85.5519689808587,94.62543510064066,1026.6236277703044,1283.2795347128806,1539.9354416554565,1796.5913485980327,2053.247255540609,2309.903162483185,1135.505221207688,1419.3815265096098,1703.2578318115318,1987.1341371134538,2271.010442415376,2554.8867477172976,956.7894250953987,1332.5041448150014,1708.218864534604,2083.933584254207,2459.6483039738096,999.6340539208035,1318.481367878114,1637.3286818354245,1956.1759957927352,2275.023309750046
.SPX,2007-03-30,1420.86,16.61644,15.06694,85.50929079875111,94.30315644716178,1026.1114895850133,1282.6393619812666,1539.16723437752,1795.6951067737732,2052.2229791700265,2308.75085156628,1131.6378773659414,1414.5473467074266,1697.456816048912,1980.3662853903975,2263.275754731883,2546.1852240733683,956.3121241774973,1331.8394160515493,1707.3667079256015,2082.8939997996536,2458.4212916737056,996.2294649059514,1313.990837404729,1631.7522099035064,1949.5135824022839,2267.2749549010614
.SPX,2007-04-30,1482.37,17.01322,15.65035,87.13047853375198,94.71800950138496,1045.5657424050237,1306.9571780062797,1568.3486136075358,1829.7400492087916,2091.1314848100474,2352.5229204113034,1136.6161140166196,1420.7701425207742,1704.9241710249291,1989.078199529084,2273.232228033239,2557.386256537394,974.443036877943,1357.090025735299,1739.7370145926548,2122.3840034500104,2505.0309923073664,1000.6120206102763,1319.771270771496,1638.9305209327154,1958.089771093935,2277.2490212551543
.SPX,2007-05-31,1530.62,16.99941,16.09244,90.03959549184353,95.11422755032797,1080.4751459021222,1350.593932377653,1620.7127188531836,1890.831505328714,2160.9502918042444,2431.069078279775,1141.3707306039355,1426.7134132549195,1712.0560959059035,1997.3987785568872,2282.741461207871,2568.084143858855,1006.9777917763422,1402.400618239323,1797.8234447023035,2193.2462711652843,2588.669097628265,1004.7977139609093,1325.2920497733865,1645.7863855858639,1966.280721398341,2286.7750572108184
.SPX,2007-06-29,1503.35,16.59992,15.66806,90.56368946356368,95.94997721479238,1086.7642735627642,1358.4553419534552,1630.1464103441463,1901.8374787348373,2173.5285471255283,2445.219615516219,1151.3997265775085,1439.2496582218857,1727.099589866263,2014.9495215106401,2302.799453155017,2590.6493847993943,1012.8391129811209,1410.5635792781964,1808.2880455752716,2206.0125118723467,2603.736978169422,1013.6266701951708,1336.937125535889,1660.2475808766071,1983.5580362173253,2306.8684915580434
.SPX,2007-07-31,1455.27,15.91192,15.06552,91.45785046681983,96.59606837334523,1097.494205601838,1371.8677570022976,1646.241308402757,1920.6148598032166,2194.988411203676,2469.3619626041354,1159.1528204801427,1448.9410256001786,1738.7292307202142,2028.5174358402498,2318.3056409602855,2608.0938460803213,1022.8391609337239,1424.490473739706,1826.141786545688,2227.7930993516698,2629.444412157652,1020.4520520107436,1345.939558693493,1671.4270653762424,1996.9145720589918,2322.402078741741
.SPX,2007-08-31,1473.99,16.56707,15.31236,88.97107334006556,96.26145153327116,1067.6528800807866,1334.5661001009835,1601.47932012118,1868.3925401413767,2135.3057601615733,2402.21898018177,1155.1374183992539,1443.9217729990673,1732.7061275988808,2021.4904821986943,2310.2748367985077,2599.059191398321,995.0277372366263,1385.757983206699,1776.4882291767717,2167.2184751468444,2557.948721116917,1016.917120963952,1341.2771117673924,1665.6371025708327,1989.997093374273,2314.357084177713
.SPX,2007-09-28,1526.75,17.14948,15.9086,89.02602294646834,95.9701042203588,1068.3122753576201,1335.3903441970251,1602.4684130364303,1869.5464818758353,2136.6245507152403,2403.7026195546455,1151.6412506443057,1439.5515633053822,1727.4618759664586,2015.372188627535,2303.2825012886115,2591.1928139496877,995.6422783505907,1386.6138440262675,1777.5854097019446,2168.5569753776213,2559.5285410532983,1013.8392942126588,1337.2175689684848,1660.595843724311,1983.974118480137,2307.352393235963
.SPX,2007-10-31,1549.38,17.60111,16.2539,88.0274028172087,95.32358387833074,1056.3288338065045,1320.4110422581305,1584.4932507097565,1848.5754591613827,2112.657667613009,2376.7398760646347,1143.8830065399688,1429.853758174961,1715.8245098099533,2001.7952614449455,2287.7660130799377,2573.73676471493,984.473988587712,1371.0599593268764,1757.6459300660406,2144.231900805205,2530.817871544369,1007.0093784531549,1328.209155701887,1649.4089329506194,1970.6087101993517,2291.8084874480837
.SPX,2007-11-30,1481.14,16.84882,15.98648,87.90763982284814,92.64953886033699,1054.8916778741777,1318.6145973427222,1582.3375168112666,1846.060436279811,2109.7833557483555,2373.5062752168997,1111.794466324044,1389.7430829050547,1667.6916994860658,1945.6403160670768,2223.588932648088,2501.5375492290987,983.1345925704494,1369.1946055742749,1755.2546185781002,2141.3146315819254,2527.374644585751,978.7604572317008,1290.9498445098989,1603.139231788097,1915.3286190662952,2227.5180063444936
.SPX,2007-12-31,1468.36,16.84843,16.13063,87.15114702082033,91.02930263728075,1045.813764249844,1307.267205312305,1568.720646374766,1830.174087437227,2091.627528499688,2353.0809695621488,1092.351631647369,1365.4395395592112,1638.5274474710536,1911.6153553828958,2184.703263294738,2457.79117120658,974.6741874884467,1357.411945207331,1740.1497029262152,2122.8874606450995,2505.625218363984,961.6440941498249,1268.3739771504643,1575.1038601511036,1881.8337431517427,2188.5636261523823
.SPX,2008-01-31,1378.55,16.3036,13.59006,84.55494492014034,101.43810991268619,1014.6593390416841,1268.3241738021052,1521.9890085625261,1775.6538433229473,2029.3186780833682,2282.9835128437894,1217.2573189522343,1521.5716486902927,1825.8859784283513,2130.2003081664097,2434.5146379044686,2738.828967642527,945.6389853191448,1316.9751194843893,1688.3112536496337,2059.647387814878,2430.9835219801225,1071.6039395352382,1413.4070587934707,1755.2101780517032,2097.0132973099358,2438.8164165681687
.SPX,2008-02-29,1330.63,15.7918,13.28424,84.26081890601452,100.16606143821551,1011.1298268721742,1263.9122835902178,1516.6947403082613,1769.477197026305,2022.2596537443485,2275.042110462392,1201.9927372585862,1502.4909215732325,1802.989105887879,2103.487290202526,2403.9854745171724,2704.4836588318185,942.349561787303,1312.3939960153518,1682.4384302434007,2052.4828644714494,2422.5272986994987,1058.165872149165,1395.6827311764448,1733.1995902037247,2070.716449231005,2408.2333082582845
.SPX,2008-03-31,1322.7,15.65208,13.28718,84.50634037137557,99.54708222512227,1014.0760844565068,1267.5951055706337,1521.1141266847603,1774.633147798887,2028.1521689130136,2281.6711900271403,1194.5649867014672,1493.206233376834,1791.8474800522008,2090.4887267275676,2389.1299734029344,2687.771220078301,945.095405564948,1316.218085327754,1687.3407650905597,2058.4634448533657,2429.5861246161717,1051.62690406496,1387.0580674303887,1722.4892307958173,2057.920394161246,2393.3515575266747
