Instrument,Date,Price,PE,Y1_PE,Y2_PE,Forward_PE,EPS,Forward_EPS,Band_12x,Band_15x,Band_18x,Band_21x,Band_24x,Band_27x,Band_fwd_12x,Band_fwd_15x,Band_fwd_18x,Band_fwd_21x,Band_fwd_24x,Band_fwd_27x,SD_minus_2,SD_minus_1,SD_mean,SD_plus_1,SD_plus_2,SD_fwd_minus_2,SD_fwd_minus_1,SD_fwd_mean,SD_fwd_plus_1,SD_fwd_plus_2
.SPX,2006-06-02,1288.22,16.62755,14.856,13.39468,14.243446684931508,77.47503390457403,90.44299659315183,929.7004068548883,1162.1255085686105,1394.5506102823326,1626.9757119960548,1859.4008137097767,2091.825915423499,1085.3159591178219,1356.6449488972776,1627.973938676733,1899.3029284561885,2170.6319182356438,2441.9609080150994,858.1134936430271,1202.4264530021755,1546.739412361324,1891.0523717204724,2235.365331079621,932.0231956386605,1205.356030241773,1478.6888648448853,1752.0216994479977,2025.35453405111
.SPX,2006-06-09,1252.3,16.2011,14.44073,13.02088,13.81833,77.29722055909784,90.62600183958554,927.566646709174,1159.4583083864675,1391.349970063761,1623.2416317410546,1855.133293418348,2087.0249550956414,1087.5120220750264,1359.390027593783,1631.2680331125398,1903.1460386312963,2175.0240441500528,2446.9020496688095,856.1440329869547,1199.666757916908,1543.1894828468612,1886.7122077768142,2230.2349327067673,933.9090811248199,1207.7949861108164,1481.680891096813,1755.5667960828096,2029.4527010688062
.SPX,2006-06-16,1251.54,16.16102,14.44598,13.02118,13.794085205479451,77.44189413787001,90.73019206107617,929.3027296544401,1161.6284120680502,1393.9540944816601,1626.27977689527,1858.6054593088802,2090.9311417224903,1088.762304732914,1360.9528809161425,1633.143457099371,1905.3340332825994,2177.524609465828,2449.7151856490564,857.7464375792642,1201.9121178657713,1546.077798152278,1890.243478438785,2234.409158725292,934.9827707066105,1209.1835547838657,1483.3843388611208,1757.5851229383761,2031.7859070156312
.SPX,2006-06-23,1244.5,16.03494,14.34233,12.94578,13.676577397260273,77.61176530750973,90.9949882818856,931.3411836901167,1164.1764796126458,1397.011775535175,1629.8470714577043,1862.6823673802335,2095.5176633027627,1091.9398593826272,1364.924824228284,1637.9097890739408,1910.8947539195976,2183.8797187652544,2456.864683610911,859.6279306939148,1204.5485489543823,1549.46916721485,1894.3897854753172,2239.310403735785,937.7115195230836,1212.7125590579462,1487.7135985928087,1762.7146381276712,2037.7156776625338
.SPX,2006-06-30,1270.2,16.35436,14.62521,13.20498,13.920931561643831,77.66736209793596,91.24389372761276,932.0083451752316,1165.0104314690395,1398.0125177628474,1631.0146040566553,1864.0166903504633,2097.018776644271,1094.926724731353,1368.6584059141915,1642.3900870970297,1916.1217682798679,2189.853449462706,2463.5851306455443,860.2437207576759,1205.4114211357985,1550.5791215139209,1895.7468218920433,2240.9145222701654,940.2765124764027,1216.0297830694067,1491.7830536624108,1767.536324255415,2043.2895948484188
.SPX,2006-07-07,1265.48,16.38529,14.5697,13.16356,13.845441589041096,77.23268858836187,91.40047949078411,926.7922630603424,1158.490328825428,1390.1883945905136,1621.8864603555992,1853.5845261206848,2085.28259188577,1096.8057538894093,1371.0071923617616,1645.208630834114,1919.4100693064663,2193.6115077788186,2467.812946251171,855.4292768639937,1198.6652101309094,1541.901143397825,1885.1370766647406,2228.3730099316563,941.8901428168367,1218.1166399958488,1494.3431371748609,1770.569634353873,2046.7961315328853
.SPX,2006-07-14,1236.2,15.98696,14.24909,12.86283,13.508485342465754,77.32552029904373,91.51285052764857,927.9062435885248,1159.882804485656,1391.8593653827872,1623.8359262799183,1855.8124871770497,2087.7890480741808,1098.154206331783,1372.6927579147284,1647.2313094976741,1921.7698610806199,2196.308412663566,2470.846964246511,856.4574809132127,1200.1059749679898,1543.7544690227667,1887.4029630775435,2231.05145713232,943.048136435146,1219.6142364047603,1496.1803363743745,1772.7464363439888,2049.3125363136032
.SPX,2006-07-21,1240.29,15.89117,14.22512,12.91168,13.49822991780822,78.04900457297983,91.88538108716646,936.588054875758,1170.7350685946974,1404.8820823136368,1639.0290960325763,1873.176109751516,2107.3231234704554,1102.6245730459975,1378.280716307497,1653.9368595689964,1929.5930028304958,2205.249146091995,2480.9052893534945,864.470792900501,1211.334580951994,1558.1983690034867,1905.0621570549795,2251.925945106472,946.8870972793649,1224.5790426725596,1502.2709880657544,1779.9629334589492,2057.654878852144
.SPX,2006-07-28,1278.55,15.49591,14.59399,13.28594,13.84499698630137,82.5088684691638,92.3474379420258,990.1064216299656,1237.633027037457,1485.1596324449483,1732.6862378524397,1980.212843259931,2227.7394486674225,1108.1692553043097,1385.211569130387,1662.2538829564646,1939.296196782542,2216.3385106086193,2493.380824434697,913.8682464574835,1280.552470319634,1647.2366941817843,2013.9209180439345,2380.605141906085,951.648634630565,1230.7369878678587,1509.8253411051526,1788.9136943424467,2068.0020475797405
.SPX,2006-08-04,1279.36,15.53194,14.53754,13.3424,13.830279068493152,82.36962027924392,92.5042794627708,988.435443350927,1235.5443041886588,1482.6531650263905,1729.7620258641223,1976.870886701854,2223.979747539586,1110.0513535532496,1387.564191941562,1665.0770303298743,1942.5898687181866,2220.102707106499,2497.6155454948116,912.3259334733705,1278.3913133810186,1644.4566932886664,2010.5220731963143,2376.587453103962,953.2649005757453,1232.827253338304,1512.389606100863,1791.9519588634216,2071.5143116259806
.SPX,2006-08-11,1266.74,15.39395,14.3712,13.21885,13.667161506849316,82.28817165185023,92.68493676358266,987.4580598222028,1234.3225747777535,1481.1870897333042,1728.051604688855,1974.9161196444056,2221.780634599956,1112.219241162992,1390.2740514537397,1668.3288617444878,1946.3836720352358,2224.438482325984,2502.4932926167317,911.4238084573129,1277.1272160427777,1642.8306236282424,2008.534031213707,2374.2374387991717,955.1265902715826,1235.234917559342,1515.3432448471012,1795.4515721348605,2075.5598994226198
.SPX,2006-08-18,1302.3,15.79377,14.76081,13.58032,14.016939589041096,82.45656356905286,92.90901139491112,989.4787628286343,1236.848453535793,1484.2181442429514,1731.5878349501102,1978.9575256572687,2226.3272163644274,1114.9081367389335,1393.6351709236667,1672.3622051084,1951.0892392931335,2229.816273477867,2508.5433076626,913.2889173716243,1279.740688867657,1646.1924603636892,2012.6442318597217,2379.096003355754,957.4356994543729,1238.2212152083564,1519.00673096234,1799.792246716324,2080.5777624703073
.SPX,2006-08-25,1295.09,15.6817,14.65627,13.50917,13.911440684931506,82.58607166314876,93.09531840241436,991.0328599577851,1238.7910749472314,1486.5492899366777,1734.307504926124,1982.0657199155703,2229.8239349050164,1117.1438208289724,1396.4297760362156,1675.7157312434585,1955.0016864507015,2234.2876416579447,2513.573596865188,914.7233490521132,1281.750677768218,1648.7780064843228,2015.8053352004274,2382.832663916532,959.3556098846316,1240.7041744581536,1522.0527390316756,1803.4013036051977,2084.7498681787197
.SPX,2006-09-01,1311.01,15.85905,14.9441,13.67204,14.093736602739725,82.66636400036572,93.02075361229248,991.9963680043886,1239.9954600054857,1487.994552006583,1735.9936440076801,1983.9927360087772,2231.9918280098746,1116.2490433475098,1395.3113041843872,1674.3735650212648,1953.4358258581422,2232.4980866950195,2511.560347531897,915.612666997903,1282.996829275063,1650.380991552223,2017.7651538293826,2385.1493161065423,958.5872130314827,1239.7104311855658,1520.833649339649,1801.9568674937318,2083.080085647815
.SPX,2006-09-08,1298.92,15.70619,14.83064,13.54384,13.945744657534249,82.70115158418433,93.14095675043447,992.4138190102119,1240.517273762765,1488.620728515318,1736.724183267871,1984.8276380204238,2232.931092772977,1117.6914810052135,1397.114351256517,1676.5372215078205,1955.9600917591238,2235.382962010427,2514.8058322617308,915.9979742844124,1283.536738829295,1651.0755033741775,2018.61426791906,2386.1530324639425,959.8259171562572,1241.3124079319268,1522.7988987075964,1804.285389483266,2085.7718802589357
.SPX,2006-09-15,1319.87,15.87559,15.06777,13.74575,14.13330106849315,83.13832745743622,93.38724149465249,997.6599294892346,1247.0749118615433,1496.4898942338518,1745.9048766061605,1995.3198589784693,2244.734841350778,1120.6468979358299,1400.8086224197873,1680.9703469037447,1961.1320713877021,2241.2937958716598,2521.455520355617,920.840134358775,1290.3217869682849,1659.8034395777945,2029.285092187304,2398.766744796814,962.3639035453604,1244.5947052106771,1526.825506875994,1809.056308541311,2091.287110206628
